	-- League --	--- FA Cup ---	---- Other ----

1973/74
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BATES, Mick	Midfielder	
										
BREMNER, Billy	Midfielder	
										
CHERRY, Trevor	Central Defender	
										
CLARKE, Allan	Forward	
										
COOPER, Terry	Full Back	
										
DAVEY, Nigel	Full Back	
										
DAVIDS, Neil	Central Defender	
										
ELLAM, Roy	Central Defender	
										
GILES, Johnny	Midfielder	
										
GRAY, Eddie	Winger	
										
GRAY, Frank	Full Back	
										
HAMPTON, Peter	Full Back	
										
HARVEY, David	Goalkeeper	
										
HUNTER, Norman	Central Defender	
										
JONES, Mick	Forward	
										
JORDAN, Joe	Forward	
										
LETHEREN, Glan	Goalkeeper	
										
LIDDELL, Garry	Forward	
										
LOADWICK, Derek	Midfielder	
										
LORIMER, Peter	Forward	
										
MADELEY, Paul	Central Defender	
										
MANN, Jimmy	Midfielder	
										
MCGINLEY, Billy	Winger	
										
MCQUEEN, Gordon	Central Defender	
										
O'NEILL, Sean	Full Back	
										
REANEY, Paul	Full Back	
										
SHAW, John	Goalkeeper	
										
SPRAKE, Gary	Goalkeeper	
										
STEWART, David	Goalkeeper	
										
YORATH, Terry	Midfielder
