-- League --	--- FA Cup ---	---- Other ----

1973/74
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ABBOTT, Ron	Central Defender	
										
BECK, John	Midfielder	
										
BOWLES, Stan	Midfielder	
										
BUSBY, Martyn	Midfielder	
										
CLEMENT, Dave	Full Back	
										
DELVE, John	Midfielder	
										
EVANS, Ian	Central Defender	
										
FRANCIS, Gerry	Midfielder	
										
FRENCH, Mickey	Forward	
										
GILLARD, Ian	Full Back	
										
GIVENS, Don	Forward	
										
HAZELL, Tony	Central Defender	
										
LEACH, Mick	Midfielder	
										
MANCINI, Terry	Central Defender	
										
MCLINTOCK, Frank	Midfielder	
										
PARKES, Phil	Goalkeeper	
										
THOMAS, Dave	Winger	
										
VENABLES, Terry	Midfielder	
										
WATSON, Ian	Full Back	
