-- League --	--- FA Cup ---	---- Other ----

1976/77
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAIN, John	Midfielder	
										
BOND, Len	Goalkeeper	
										
CASHLEY, Ray	Goalkeeper	
										
CHEESLEY, Paul	Forward	
										
CLARKE, Gary	Winger	
										
COLLIER, Gary	Central Defender	
										
CORMACK, Peter	Midfielder	
										
DRYSDALE, Brian	Full Back	
										
FEAR, Keith	Forward	
										
GARLAND, Chris	Forward	
										
GILLIES, Don	Full Back	
										
GOW, Gerry	Midfielder	
										
HUNTER, Norman	Central Defender	
										
MANN, Jimmy	Midfielder	
										
MCNEILL, Brian	Full Back	
										
MERRICK, Geoff	Central Defender	
										
RITCHIE, Tom	Forward	
										
RODGERS, David	Central Defender	
										
SHAW, John	Goalkeeper	
										
SWEENEY, Gerry	Full Back	
										
TAINTON, Trevor	Midfielder	
										
WHITEHEAD, Clive	Winger	
