Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BITHELL, Brian ",Full Back,16+1,0,0,1,0,0,0,0,0
,"BLOOR, Alan ",Central Defender,37,2,0,1,0,0,2,0,0
,"BOWERS, Danny ",Full Back,13+2,1,0,1,0,0,1+1,0,0
,"CONROY, Terry ",Forward,34+2,5,1,0,0,0,2,1,0
,"CROOKS, Garth ",Forward,20+3,6,0,0+1,0,0,1+1,0,0
,"DODD, Alan ",Central Defender,42,1,0,1,0,0,2,0,0
,"GOODWIN, Dave ",Forward,12+1,1,0,0,0,0,0,0,0
,"GREENHOFF, Jimmy ",Forward,14,2,0,0,0,0,2,1,0
,"HUDSON, Alan ",Midfielder,11,0,0,0,0,0,2,0,0
,"JOHNSON, Paul ",Midfielder,8,0,0,0,0,0,0,0,0
,"JONES, Roger ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"LUMSDON, John ",Full Back,12+1,0,0,0,0,0,0,0,0
,"MAHONEY, John ",Midfielder,22,0,0,0,0,0,2,0,0
,"MAIN, Ian ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"MARSH, Jackie ",Full Back,16+1,0,0,1,0,0,2,0,0
,"PEJIC, Mike ",Full Back,21,0,0,0,0,0,2,0,0
,"ROBERTSON, Jimmy ",Winger,14,0,0,1,0,0,0,0,0
,"RUGGIERO, John ",Midfielder,9,2,1,0,0,0,0,0,0
,"SALMONS, Geoff ",Midfielder,33+2,1,0,1,0,0,2,0,0
,"SHELDON, Kevin ",Winger,7+2,0,0,0,0,0,0,0,0
,"SHILTON, Peter ",Goalkeeper,40,0,0,1,0,0,2,0,0
,"SMITH, Denis ",Central Defender,30,2,0,1,0,0,0,0,0
,"SUDDICK, Alan ",Midfielder,9,1,0,0,0,0,0,0,0
,"THORLEY, Dennis ",Central Defender,1,0,0,0,0,0,0,0,0
,"TUDOR, John ",Forward,28+2,3,0,1,0,0,0,0,0
,"WADDINGTON, Steve ",Midfielder,11+1,1,0,1,0,0,0,0,0
