-- League --	--- FA Cup ---	---- Other ----

1977/78
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BAIN, John 	Midfielder	0	0	0	0	0	0	0+3	0	0
										
CASHLEY, Ray 	Goalkeeper	0	0	0	0	0	0	0+1	0	0
										
COLLIER, Gary 	Central Defender	27	0	0	2	0	0	10	0	0
										
CORMACK, Peter 	Midfielder	25+1	6	4	1+1	1	0	7	2	0
										
FEAR, Keith 	Forward	0	0	0	0	0	0	1	0	0
										
GARLAND, Chris 	Forward	2	0	0	0	0	0	2	0	0
										
GILLIES, Don 	Full Back	24+3	4	0	2	0	0	8+1	1	0
										
GOW, Gerry 	Midfielder	37+1	4	0	2	0	0	10	0	0
										
HUNTER, Norman 	Central Defender	38	3	0	0	0	0	5	0	0
										
MABBUTT, Kevin 	Forward	16+10	4	0	2	2	0	7+1	6	0
										
MANN, Jimmy 	Midfielder	26+5	1	0	1	0	0	8+1	2	0
										
MCNEILL, Brian 	Full Back	0	0	0	0	0	0	1	0	0
										
MERRICK, Geoff 	Central Defender	37	0	0	2	0	0	9	0	0
										
O'BRIEN, Colin 	Winger	0	0	0	0	0	0	0	0	0
										
PRITCHARD, Howard 	Winger	0	0	0	0	0	0	1	0	0
										
RITCHIE, Tom 	Forward	41	11	0	2	1	0	10	4	0
										
RODGERS, David 	Central Defender	15	1	0	0	0	0	1	0	0
										
ROYLE, Joe 	Forward	26	9	0	2	0	0	0	0	0
										
SHAW, John 	Goalkeeper	42	0	0	2	0	0	11	0	0
										
STEVENS, Paul 	Full Back	1	0	0	0	0	0	0	0	0
										
SWEENEY, Gerry 	Full Back	38	1	0	2	0	0	11	1	1
										
TAINTON, Trevor 	Midfielder	36+2	3	0	2	0	0	11	1	0
										
WHITEHEAD, Clive 	Winger	31+2	1	0	0	0	0	8	1	0
