Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BEATTIE, Kevin ",Central Defender,14,0,0,3,0,0,4,0,0
,"BRAZIL, Alan ",Forward,0+2,0,0,0+1,0,0,0,0,0
,"BURLEY, George ",Full Back,31,1,0,6,1,0,5,0,0
,"BUTCHER, Terry ",Central Defender,3,0,0,0,0,0,0,0,0
,"COOPER, Paul ",Goalkeeper,40,0,0,7,0,0,9,0,0
,"GATES, Eric ",Forward,23+1,2,0,1,0,0,9,3,0
,"GEDDIS, David ",Forward,20+6,4,0,2,0,0,0+5,0,0
,"HUNTER, Allan ",Central Defender,37,0,0,7,0,0,9,0,0
,"KLUG, Bryan ",Midfielder,0,0,0,0,0,0,0,0,0
,"LAMBERT, Mick ",Winger,0+9,1,0,1+3,0,0,0+2,0,0
,"MARINER, Paul ",Forward,37,11,0,7,7,0,9,4,0
,"MILLS, Mick ",Full Back,34,6,0,7,2,0,7,0,0
,"OSBORNE, Roger ",Midfielder,24+2,1,0,3+1,1,0,6+1,0,0
,"OSMAN, Russell ",Central Defender,28,0,0,4,0,0,5+1,0,0
,"OVERTON, Paul ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"PARKIN, Tommy ",Midfielder,0+1,0,0,0+1,0,0,0,0,0
,"ROBERTS, Dale ",Central Defender,3,0,0,0,0,0,1+1,0,0
,"SIVELL, Laurie ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"STIRK, John ",Full Back,6,0,0,0,0,0,2,0,0
,"TALBOT, Brian ",Midfielder,40,4,0,7,3,0,9,1,0
,"TIBBOTT, Les ",Full Back,28,0,0,1,0,0,7,1,0
,"TURNER, Robin ",Forward,9+5,0,0,5,2,0,0+1,0,0
,"VILJOEN, Colin ",Midfielder,10,0,0,4,2,1,0+2,0,0
,"WARK, John ",Midfielder,18,5,1,6+1,2,0,0,0,0
,"WHYMARK, Trevor ",Forward,19+1,9,2,0,0,0,9,11,3
,"WOODS, Clive ",Winger,36,3,0,6,1,0,8,1,0
