-- League --	--- FA Cup ---	---- Other ----

1978/79
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ARMSTRONG, David	Midfielder	
										
ASHCROFT, Billy	Forward	
										
BAILEY, Ian	Full Back	
										
BELL, Charlie	Midfielder	
										
BOAM, Stuart	Central Defender	
										
BURNS, Micky	Forward	
										
CLARKE, Harry	Midfielder	
										
COCHRANE, Terry	Winger	
										
CRAGGS, John	Full Back	
										
CUMMINS, Stan	Forward	
										
HEDLEY, Graeme	Midfielder	
										
HODGSON, David	Forward	
										
JANKOVIC, Bozo	Forward	
										
JOHNSON, Peter	Full Back	
										
JOHNSTON, Craig	Midfielder	
										
MAHONEY, John	Midfielder	
										
MCANDREW, Tony	Central Defender	
										
MILLS, David	Forward	
										
PLATT, Jim	Goalkeeper	
										
PROCTOR, Mark	Midfielder	
										
RAMAGE, Alan	Central Defender	
										
SHEARER, David	Forward	
										
STEWART, Jim	Goalkeeper	
										
WOOF, Billy	Forward	
