-- League --	--- FA Cup ---	---- Other ----

1978/79
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ANDERSON, John	Full Back	
										
BATSON, Brendon	Full Back	
										
BENNETT, Martyn	Central Defender	
										
BROWN, Ally	Forward	
										
BROWN, Tony	Forward	
										
CANTELLO, Len	Midfielder	
										
CUNNINGHAM, Laurie	Winger	
										
GODDEN, Tony	Goalkeeper	
										
GREW, Mark	Goalkeeper	
										
JOHNSTON, Willie	Winger	
										
MARTIN, Mick	Midfielder	
										
MILLS, David	Forward	
										
REGIS, Cyrille	Forward	
										
ROBERTSON, Ally	Central Defender	
										
ROBSON, Bryan	Midfielder	
										
STATHAM, Derek	Full Back	
										
SUMMERFIELD, Kevin	Midfielder	
										
TREWICK, John	Midfielder	
										
WILE, John	Central Defender
