Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDRUSZEWSKI, Manny ",Full Back,10,0,0,1+1,0,0,3,0,0
,"BAKER, Graham ",Midfielder,20+2,4,0,0+1,0,0,0+1,0,0
,"BALL, Alan ",Midfielder,42,2,1,6,1,0,8,0,0
,"BOYER, Phil ",Forward,42,8,0,6,4,0,7,4,0
,"CURRAN, Terry ",Winger,25+1,0,0,5,0,0,8,1,0
,"DAWTRY, Kevin ",Midfielder,0+1,0,0,0,0,0,0,0,0
,"FUNNELL, Tony ",Forward,2,0,0,0,0,0,0,0,0
,"GENNOE, Terry ",Goalkeeper,23,0,0,5,0,0,7,0,0
,"GEORGE, Charlie ",Forward,2,0,0,1,0,0,0,0,0
,"GOLAC, Ivan ",Full Back,36,0,0,6,0,0,8,0,0
,"HARRISON, Mark ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"HARWOOD, Lee ",Central Defender,0,0,0,0,0,0,0,0,0
,"HAYES, Austin ",Winger,13+2,3,0,4,1,0,1+1,0,0
,"HEBBERD, Trevor ",Midfielder,16+6,2,0,2,0,0,5+1,2,0
,"HOLMES, Nick ",Midfielder,38,8,0,6,0,0,7,2,0
,"MACDOUGALL, Ted ",Forward,10,5,0,0,0,0,2,2,0
,"NICHOLL, Chris ",Central Defender,38,3,0,6,0,0,8,1,0
,"O'DONOGHUE, Mike ",Forward,0,0,0,0,0,0,0,0,0
,"PEACH, David ",Full Back,38,5,5,5,1,1,7,2,0
,"PICKERING, Mike ",Central Defender,3,0,0,0,0,0,0,0,0
,"ROBERTS, Trevor ",Central Defender,0,0,0,0,0,0,0,0,0
,"SEALY, Tony ",Forward,0+5,0,0,0,0,0,0+1,0,0
,"WALDRON, Malcolm ",Central Defender,42,6,0,6,0,0,8,0,0
,"WELLS, Peter ",Goalkeeper,19,0,0,1,0,0,1,0,0
,"WILLIAMS, Oshor ",Winger,5+1,0,0,0,0,0,0,0,0
,"WILLIAMS, Steve ",Midfielder,38,0,0,6,0,0,8,1,0
