-- League --	--- FA Cup ---	---- Other ----

1981/82
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
CASE, Jimmy	Midfielder	
										
DIGWEED, Perry	Goalkeeper	
										
FOSTER, Steve	Central Defender	
										
GATTING, Steve	Central Defender	
										
GREALISH, Tony	Midfielder	
										
MASON, Tommy	Full Back	
										
MCNAB, Neil	Midfielder	
										
MOSELEY, Graham	Goalkeeper	
										
NELSON, Sammy	Full Back	
										
RING, Mike	Winger	
										
RITCHIE, Andy	Forward	
										
ROBINSON, Michael	Forward	
										
RYAN, Gerry	Winger	
										
SHANKS, Don	Full Back	
										
SMITH, Gordon	Winger	
										
STEVENS, Gary	Full Back	
										
STILLE, Giles	Midfielder	
										
THOMAS, Mickey	Midfielder	
										
WILLIAMS, Gary	Full Back
