	-- League --	--- FA Cup ---	---- Other ----

1981/82
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AVRAMOVIC, Raddy 	Goalkeeper	42	0	0	0	0	0	5	0	0
										
BENJAMIN, Ian 	Forward	0	0	0	0	0	0	0	0	0
										
BENJAMIN, Tristan 	Central Defender	41	0	0	1	0	0	5	0	0
										
CHIEDOZIE, John 	Winger	32	2	0	1	0	0	0	0	0
										
CHRISTIE, Trevor 	Forward	24+11	12	1	0+1	0	0	2+1	0	0
										
GOODWIN, Mark 	Midfielder	36+2	3	0	1	0	0	5	0	0
										
HARKOUK, Rachid 	Forward	17+1	4	1	0	0	0	0	0	0
										
HOOKS, Paul 	Midfielder	28	3	0	1	0	0	5	1	0
										
HUNT, David 	Midfielder	26+4	3	0	1	0	0	5	0	0
										
KILCLINE, Brian 	Central Defender	36	3	0	0	0	0	1	0	0
										
LAHTINEN, Aki 	Central Defender	5+3	0	0	1	0	0	2	0	0
										
LEONARD, Mick 	Goalkeeper	0	0	0	1	0	0	0	0	0
										
MAIR, Gordon 	Winger	32+2	9	0	1	0	0	4	2	0
										
MANNS, Paul 	Midfielder	0	0	0	0	0	0	1+2	1	0
										
MASSON, Don 	Midfielder	16	1	0	1	0	0	2	1	0
										
MCCULLOCH, Iain 	Winger	39+1	16	0	0	0	0	5	0	0
										
MCPARLAND, Ian 	Forward	7+5	0	0	0	0	0	1	0	0
										
O'BRIEN, Ray 	Full Back	39	2	1	1	0	0	5	0	0
										
RICHARDS, Pedro 	Full Back	40	1	0	1	0	0	4	0	0
										
SINDALL, Mark 	Midfielder	0	0	0	0	0	0	0	0	0
										
WHITE, Devon 	Forward	0	0	0	0	0	0	0	0	0
										
WORTHINGTON, Nigel 	Full Back	2	0	0	0	0	0	3	0	0
