Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"CASE, Jimmy ",Midfielder,35,3,0,8,4,0,1,0,0
,"CONNOR, Terry ",Forward,5+2,1,0,0,0,0,0,0,0
,"DIGWEED, Perry ",Goalkeeper,15,0,0,1,0,0,0,0,0
,"FOSTER, Steve ",Central Defender,35+1,1,0,6,0,0,2,0,0
,"GATTING, Steve ",Central Defender,40,4,0,7,0,0,2,0,0
,"GREALISH, Tony ",Midfielder,38,2,0,8,0,0,2,1,0
,"HOWLETT, Gary ",Midfielder,9,1,0,3,0,0,0,0,0
,"MCNAB, Neil ",Midfielder,14,0,0,0,0,0,2,0,0
,"MOSELEY, Graham ",Goalkeeper,27,0,0,7,0,0,2,0,0
,"NELSON, Sammy ",Full Back,13,0,0,0,0,0,0,0,0
,"O'REGAN, Kieran ",Midfielder,1,0,0,0,0,0,0,0,0
,"PEARCE, Graham ",Full Back,13+1,0,0,5,0,0,1,0,0
,"RAMSEY, Chris ",Full Back,23,0,0,6,0,0,0,0,0
,"RING, Mike ",Winger,0+1,0,0,0,0,0,0,0,0
,"RITCHIE, Andy ",Forward,21+3,5,0,4,1,0,1+1,0,0
,"ROBINSON, Michael ",Forward,35+1,7,0,8,3,0,2,0,0
,"RODON, Chris ",Forward,0+1,0,0,0,0,0,0,0,0
,"RYAN, Gerry ",Winger,16+10,6,0,2+2,1,0,0,0,0
,"SHANKS, Don ",Full Back,10,0,0,0,0,0,2,0,0
,"SMILLIE, Neil ",Midfielder,22+3,0,0,6+1,1,0,1,0,0
,"SMITH, Gordon ",Winger,26+3,6,1,4,1,0,2,0,0
,"STEVENS, Gary ",Full Back,41,0,0,8,1,0,1,0,0
,"STILLE, Giles ",Midfielder,7+2,0,0,2,0,0,0,0,0
,"WARD, Peter ",Forward,16,2,0,3,1,0,1,0,0
