	-- League --	--- FA Cup ---	---- Other ----

1982/83
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AVRAMOVIC, Raddy	Goalkeeper	
										
BENJAMIN, Tristan	Central Defender	
										
CHIEDOZIE, John	Winger	
										
CHRISTIE, Trevor	Forward	
										
CLARKE, David	Full Back	
										
FASHANU, Justin	Forward	
										
GOODWIN, Mark	Midfielder	
										
HARKOUK, Rachid	Forward	
										
HOOKS, Paul	Midfielder	
										
HUNT, David	Midfielder	
										
KILCLINE, Brian	Central Defender	
										
LAHTINEN, Aki	Central Defender	
										
LEONARD, Mick	Goalkeeper	
										
MAIR, Gordon	Winger	
										
MCCULLOCH, Iain	Winger	
										
MCPARLAND, Ian	Forward	
										
O'BRIEN, Ray	Full Back	
										
RICHARDS, Pedro	Full Back	
										
WORTHINGTON, Nigel	Full Back	
