	-- League --	--- FA Cup ---	---- Other ----

1982/83
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AGBOOLA, Reuben	Full Back	
										
ARMSTRONG, David	Midfielder	
										
BAIRD, Ian	Forward	
										
BAKER, Steve	Full Back	
										
BALL, Alan	Midfielder	
										
CASSELLS, Keith	Forward	
										
DIXON, Colin	Central Defender	
										
FASHANU, Justin	Forward	
										
FOYLE, Martin	Forward	
										
FUTCHER, Ron	Forward	
										
HOLMES, Nick	Midfielder	
										
LAWRENCE, George	Winger	
										
LEE, Bob	Forward	
										
MILLS, Mick	Full Back	
										
MORAN, Steve	Forward	
										
NICHOLL, Chris	Central Defender	
										
PUCKETT, David	Forward	
										
ROFE, Dennis	Full Back	
										
SHILTON, Peter	Goalkeeper	
										
WALDRON, Malcolm	Central Defender	
										
WALLACE, Danny	Winger	
										
WELLS, Peter	Goalkeeper	
										
WILLIAMS, Steve	Midfielder	
										
WRIGHT, Mark	Central Defender	
