Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADAMS, Micky ",Full Back,16+1,1,0,4,0,0,0,0,0
,"ALLARDYCE, Sam ",Central Defender,28,1,0,1,0,0,3,0,0
,"AVRAMOVIC, Raddy ",Goalkeeper,18,0,0,4,0,0,2,0,0
,"BAMBER, Dave ",Forward,18+1,3,0,0+1,0,0,2,1,0
,"BENNETT, Dave ",Winger,32+2,6,0,3,0,0,3,1,0
,"BUTTERWORTH, Ian ",Central Defender,22+2,0,0,3,0,0,0,0,0
,"DALTON, Tim ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"DALY, Gerry ",Midfielder,27+1,7,3,3+1,0,0,0,0,0
,"ENGLISH, Tony ",Midfielder,0,0,0,0,0,0,0,0,0
,"FERGUSON, Mick ",Forward,7,3,0,0,0,0,0,0,0
,"GEORGE, Charlie ",Forward,0,0,0,0,0,0,0,0,0
,"GIBSON, Terry ",Forward,35+1,17,1,3,2,0,2,0,0
,"GRIMES, Ashley ",Full Back,29+3,1,0,0,0,0,3,1,0
,"GYNN, Micky ",Midfielder,20+3,2,0,2+1,0,0,2,0,0
,"HENDRIE, John ",Winger,1+2,0,0,0,0,0,1,0,0
,"HORMANTSCHUK, Peter ",Full Back,8,0,0,0,0,0,0,0,0
,"HUNT, Steve ",Winger,13+2,1,0,4,1,0,1,0,0
,"JACOBS, Steve ",Central Defender,18,0,0,0,0,0,1,0,0
,"KELLY, Errington ",Forward,0,0,0,0,0,0,0,0,0
,"LANGLEY, Tommy ",Forward,2,0,0,0,0,0,0,0,0
,"MCGRATH, Lloyd ",Midfielder,1,0,0,0,0,0,0,0,0
,"PEAKE, Trevor ",Central Defender,33,3,0,4,1,0,3,0,0
,"PEARCE, Stuart ",Full Back,23,0,0,0,0,0,0,0,0
,"PLATNAUER, Nicky ",Full Back,29+5,6,0,4,0,0,3,0,0
,"ROBERTS, Brian ",Full Back,30,0,0,4,0,0,3,0,0
,"SINGLETON, Martin ",Midfielder,12+1,0,0,0,0,0,2+1,0,0
,"SPRING, Andy ",Full Back,0+1,0,0,0,0,0,0,0,0
,"SUCKLING, Perry ",Goalkeeper,24,0,0,0,0,0,1,0,0
,"THOMPSON, Keith ",Winger,6,0,0,1,0,0,0,0,0
,"WITHEY, Graham ",Forward,10+10,4,0,4,3,0,1,0,0
