Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ATKINSON, Paul ",Winger,8+3,0,0,0+2,0,0,0,0,0
,"BARDSLEY, David ",Full Back,25,0,0,7,0,0,0,0,0
,"BARNES, John ",Winger,39,11,1,7,4,0,8,1,0
,"BOLTON, Ian ",Central Defender,7+1,0,0,0,0,0,4,0,0
,"CALLAGHAN, Nigel ",Winger,41,10,1,7,1,0,8,1,0
,"CASSIDY, Francis ",Midfielder,0,0,0,0,0,0,0+1,0,0
,"FRANKLIN, Paul ",Central Defender,24,0,0,5,0,0,5,0,0
,"GIBBS, Nigel ",Full Back,2+1,0,0,0,0,0,2,0,0
,"GILLIGAN, Jimmy ",Forward,9+3,4,0,0,0,0,4+1,3,0
,"JACKETT, Kenny ",Midfielder,31,1,0,6,1,0,7,0,0
,"JOBSON, Richard ",Central Defender,11+2,2,0,0+1,0,0,7+1,0,0
,"JOHNSON, David ",Winger,2,0,0,0,0,0,2+1,0,0
,"JOHNSTON, Mo ",Forward,28+1,20,0,7,4,1,0,0,0
,"LOHMAN, Jan ",Midfielder,7,2,0,0,0,0,1,0,0
,"PALMER, Charlie ",Full Back,10,1,0,0,0,0,6,0,0
,"PATCHING, Martin ",Midfielder,1,0,0,0,0,0,0,0,0
,"PORTER, Gary ",Midfielder,1+1,0,0,0,0,0,0,0,0
,"PRICE, Neil ",Full Back,7+1,0,0,2,0,0,2,0,0
,"REILLY, George ",Forward,27,8,0,7,4,0,1,0,0
,"RICE, Pat ",Full Back,6,0,0,0,0,0,0+1,0,0
,"RICHARDSON, Ian ",Forward,4+3,2,0,0,0,0,6+1,3,0
,"ROSTRON, Wilf ",Full Back,39,4,0,6,0,0,8,3,0
,"SHERWOOD, Steve ",Goalkeeper,40,1,0,7,0,0,7,0,0
,"SIMS, Steve ",Central Defender,22,0,0,3,0,0,5+1,1,0
,"SINNOTT, Lee ",Central Defender,19+1,0,0,2,0,0,0,0,0
,"STEELE, Eric ",Goalkeeper,2,0,0,0,0,0,1,0,0
,"STERLING, Worrell ",Winger,7+3,1,0,0,0,0,0+1,0,0
,"TAYLOR, Les ",Midfielder,26+1,0,0,7,1,0,1,0,0
,"TERRY, Steve ",Central Defender,17,1,0,4,0,0,3+1,0,0
