	-- League --	--- FA Cup ---	---- Other ----

1984/85
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BLAIR, Andy	Midfielder	
										
BRADSHAW, Darren	Central Defender	
										
BROWN, Richard	Full Back	
										
CHAPMAN, Lee	Forward	
										
COOMBES, Lee	Full Back	
										
HEARD, Pat	Midfielder	
										
HODGE, Martin	Goalkeeper	
										
JONSSON, Siggi	Midfielder	
										
KERR, Dylan	Full Back	
										
LYONS, Mike	Central Defender	
										
MADDEN, Lawrie	Central Defender	
										
MARWOOD, Brian	Winger	
										
MILLS, Simon	Full Back	
										
MORRIS, Chris	Full Back	
										
OLIVER, Gavin	Central Defender	
										
PEARSON, John	Forward	
										
RYAN, John	Full Back	
										
SHELTON, Gary	Midfielder	
										
SHIRTLIFF, Peter	Central Defender	
										
SHOWLER, Paul	Winger	
										
SMITH, Alan	Central Defender	
										
SMITH, Mark	Central Defender	
										
STAINROD, Simon	Forward	
										
STERLAND, Mel	Full Back	
										
VARADI, Imre	Forward	
										
WORTHINGTON, Nigel	Full Back
