	-- League --	--- FA Cup ---	---- Other ----

1985/86
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLEN, Clive	Forward	
										
ALLEN, Paul	Midfielder	
										
ARDILES, Ossie	Midfielder	
										
BOWEN, Mark	Full Back	
										
CHIEDOZIE, John	Winger	
										
CLEMENCE, Ray	Goalkeeper	
										
COOKE, Richard	Winger	
										
CROOK, Ian	Midfielder	
										
DICK, Ally	Winger	
										
FALCO, Mark	Forward	
										
GALVIN, Tony	Winger	
										
HAZARD, Micky	Midfielder	
										
HODDLE, Glenn	Midfielder	
										
HOWELLS, David	Midfielder	
										
HUGHTON, Chris	Full Back	
										
JENNINGS, Pat	Goalkeeper	
										
LEWORTHY, Dave	Forward	
										
MABBUTT, Gary	Central Defender	
										
MADDIX, Danny	Central Defender	
										
MILLER, Paul	Central Defender	
										
PERRYMAN, Steve	Central Defender	
										
POOLE, Gary	Full Back	
										
ROBERTS, Graham	Central Defender	
										
STEVENS, Gary	Full Back	
										
THOMAS, Danny	Full Back	
										
WADDLE, Chris	Winger	
