
-- League --	--- FA Cup ---	---- Other ----

1986/87
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLON, Joe	Forward	
										
ANDERSON, John	Full Back	
										
BAILEY, John	Full Back	
										
BEARDSLEY, Peter	Forward	
										
BOGIE, Ian	Midfielder	
										
CLARKE, Jeff	Central Defender	
										
CRAIG, Albert	Winger	
										
CUNNINGHAM, Tony	Forward	
										
DAVIES, Alan	Winger	
										
GASCOIGNE, Paul	Midfielder	
										
GODDARD, Paul	Forward	
										
JACKSON, Darren	Winger	
										
JACKSON, Peter	Central Defender	
										
KELLY, Gary	Goalkeeper	
										
MCCREERY, David	Midfielder	
										
MCDONALD, Neil	Full Back	
										
NESBIT, Tony	Midfielder	
										
ROEDER, Glenn	Central Defender	
										
SCOTT, Kevin	Central Defender	
										
STEPHENSON, Paul	Winger	
										
STEWART, Ian	Winger	
										
THOMAS, Andy	Midfielder	
										
THOMAS, Martin	Goalkeeper	
										
TINNION, Brian	Midfielder	
										
WHARTON, Ken	Full Back	
										
WHITEHURST, Billy	Forward	
										
WRIGHTSON, Jeff	Central Defender	
