-- League --	--- FA Cup ---	---- Other ----

1988/89
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLINSON, Ian	Winger	
										
BEAUMONT, Dave	Central Defender	
										
BLACK, Kingsley	Winger	
										
BREACKER, Tim	Full Back	
										
CHAMBERLAIN, Alec	Goalkeeper	
										
COOKE, Richard	Winger	
										
DONAGHY, Mal	Central Defender	
										
DOWIE, Iain	Forward	
										
DREYER, John	Central Defender	
										
FOSTER, Steve	Central Defender	
										
GRIMES, Ashley	Full Back	
										
HARFORD, Mick	Forward	
										
HARVEY, Richard	Full Back	
										
HILL, Ricky	Midfielder	
										
JAMES, Julian	Full Back	
										
JOHNSON, Marvin	Central Defender	
										
JOHNSON, Rob	Full Back	
										
MCDONOUGH, Darron	Midfielder	
										
MEADE, Raphael	Forward	
										
OLDFIELD, David	Midfielder	
										
PETTERSON, Andy	Goalkeeper	
										
PREECE, David	Midfielder	
										
SEALEY, Les	Goalkeeper	
										
WEGERLE, Roy	Forward	
										
WILLIAMS, Steve	Midfielder	
										
WILSON, Danny	Midfielder	
