	-- League --	--- FA Cup ---	---- Other ----

1988/89
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ANTHROBUS, Steve	Forward	
										
BRILEY, Les	Midfielder	
										
CARTER, Jimmy	Winger	
										
CASCARINO, Tony	Forward	
										
DAWES, Ian	Full Back	
										
DOWSON, Alan	Full Back	
										
HORNE, Brian	Goalkeeper	
										
HORRIX, Dean	Forward	
										
HURLOCK, Terry	Midfielder	
										
LAWRENCE, George	Winger	
										
MCLEARY, Alan	Central Defender	
										
MORGAN, Darren	Midfielder	
										
O'CALLAGHAN, Kevin	Winger	
										
REID, Wes	Midfielder	
										
RUDDOCK, Neil	Central Defender	
										
SALMAN, Danis	Full Back	
										
SHERINGHAM, Teddy	Forward	
										
SPARHAM, Sean	Full Back	
										
STEPHENSON, Paul	Winger	
										
STEVENS, Keith	Full Back	
										
THOMPSON, Dave	Central Defender	
										
TREACY, Darren	Midfielder	
										
WOOD, Steve	Central Defender	
