-- League --	--- FA Cup ---	---- Other ----

1989/90
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ACHAMPONG, Kenny	Winger	
										
BACON, Paul	Midfielder	
										
BENNETT, Mickey	Winger	
										
BOLDER, Bob	Goalkeeper	
										
CATON, Tommy	Central Defender	
										
CROOKS, Garth	Forward	
										
DE SOUZA, Miguel	Forward	
										
FERGUSON, Iain	Forward	
										
GRITT, Steve	Midfielder	
										
HUMPHREY, John	Full Back	
										
JONES, Andy	Forward	
										
LEABURN, Carl	Forward	
										
LEE, Jason	Forward	
										
LEE, Rob	Midfielder	
										
MACKENZIE, Steve	Midfielder	
										
MCLAUGHLIN, Joe	Central Defender	
										
MINTO, Scott	Full Back	
										
MORTIMER, Paul	Midfielder	
										
PATES, Colin	Central Defender	
										
PEAKE, Andy	Midfielder	
										
REID, Mark	Full Back	
										
SALMON, Mike	Goalkeeper	
										
SMART, Marcus	Central Defender	
										
TIVEY, Mark	Winger	
										
WALSH, Colin	Winger	
										
WATSON, Gordon	Forward	
										
WILLIAMS, Paul	Forward	
