	-- League --	--- FA Cup ---	---- Other ----

1990/91
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BIRCH, Paul	Midfielder	
										
BLAKE, Mark	Midfielder	
										
BUTLER, Lee	Goalkeeper	
										
CALLAGHAN, Nigel	Winger	
										
CASCARINO, Tony	Forward	
										
COMYN, Andy	Central Defender	
										
COWANS, Gordon	Midfielder	
										
DALEY, Tony	Winger	
										
GAGE, Kevin	Full Back	
										
GALLACHER, Bernard	Full Back	
										
GRAY, Stuart	Full Back	
										
LIDDLE, Craig	Central Defender	
										
MCGRATH, Paul	Central Defender	
										
MOUNTFIELD, Derek	Central Defender	
										
NIELSEN, Kent	Central Defender	
										
OLNEY, Ian	Forward	
										
ORMONDROYD, Ian	Forward	
										
PENRICE, Gary	Forward	
										
PLATT, David	Midfielder	
										
PRICE, Chris	Full Back	
										
SPINK, Nigel	Goalkeeper	
										
YORKE, Dwight	Forward
