Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BILLING, Peter ",Central Defender,15,0,0,4,0,0,3,0,0
,"BORROWS, Brian ",Full Back,38,6,5,4,0,0,6,0,0
,"BUTCHER, Terry ",Central Defender,6,0,0,0,0,0,1,0,0
,"CLARK, Howard ",Full Back,0+2,0,0,0+1,0,0,0,0,0
,"CLARKE, Tim ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"DAY, Mervyn ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"DOBSON, Tony ",Central Defender,5+1,1,0,0,0,0,0,0,0
,"DRINKELL, Kevin ",Forward,11+4,0,0,3+1,0,0,1+2,0,0
,"EDWARDS, Paul ",Full Back,22+1,0,0,2,0,0,5,0,0
,"EMERSON, Dean ",Midfielder,20+4,0,0,4,0,0,2+2,0,0
,"FLEMING, Terry ",Full Back,0+2,0,0,0,0,0,0,0,0
,"GALLACHER, Kevin ",Forward,32,11,0,2,0,0,4,5,0
,"GYNN, Micky ",Midfielder,35,8,0,4,2,0,5,1,0
,"HURST, Lee ",Midfielder,3+1,0,0,0+1,0,0,0,0,0
,"KILCLINE, Brian ",Central Defender,14,3,1,3,1,0,2,0,0
,"LIVINGSTONE, Steve ",Forward,6+4,2,0,0,0,0,4+1,5,0
,"MACDONALD, Kevin ",Midfielder,7+2,0,0,2+2,0,0,3+2,0,0
,"MCGRATH, Lloyd ",Midfielder,12+2,0,0,2,0,0,1,0,0
,"OGRIZOVIC, Steve ",Goalkeeper,37,0,0,4,0,0,6,0,0
,"PEAKE, Trevor ",Central Defender,36,1,0,2,0,0,6,0,0
,"PEARCE, Andy ",Central Defender,11,1,0,0,0,0,0,0,0
,"PERDOMO, Jose ",Midfielder,4,0,0,0,0,0,2,0,0
,"REGIS, Cyrille ",Forward,31+3,4,0,4,0,0,6,3,0
,"ROBSON, Stewart ",Midfielder,3+1,0,0,0,0,0,0,0,0
,"ROSARIO, Robert ",Forward,0+2,0,0,0,0,0,0,0,0
,"SANSOM, Kenny ",Full Back,9,0,0,0,0,0,0,0,0
,"SMITH, David ",Winger,30+6,1,0,3,0,0,5,0,0
,"SPEEDIE, David ",Forward,18,3,0,0,0,0,3,1,0
,"SUTTON, Steve ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"THOMPSON, Keith ",Winger,0+1,0,0,1,0,0,0+1,0,0
,"TITTERTON, David ",Full Back,0+1,0,0,0,0,0,1,0,0
,"WOODS, Ray ",Winger,12,1,0,0,0,0,0,0,0
