	-- League --	--- FA Cup ---	---- Other ----

1991/92
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BEARDSMORE, Russell	Midfielder	
										
BLACKMORE, Clayton	Full Back	
										
BRUCE, Steve	Central Defender	
										
DONAGHY, Mal	Central Defender	
										
FERGUSON, Darren	Midfielder	
										
GIGGS, Ryan	Winger	
										
HANSON, Dave	Forward	
										
HUGHES, Mark	Forward	
										
INCE, Paul	Midfielder	
										
IRWIN, Denis	Full Back	
										
KANCHELSKIS, Andrei	Winger	
										
MARTIN, Lee	Full Back	
										
MCAULEY, Sean	Full Back	
										
MCCLAIR, Brian	Forward	
										
MCKEE, Colin	Forward	
										
PALLISTER, Gary	Central Defender	
										
PARKER, Paul	Full Back	
										
PHELAN, Mike	Midfielder	
										
ROBINS, Mark	Forward	
										
ROBSON, Bryan	Midfielder	
										
SCHMEICHEL, Peter	Goalkeeper	
										
SHARPE, Lee	Winger	
										
WALLACE, Danny	Winger	
										
WALSH, Gary	Goalkeeper	
										
WEBB, Neil	Midfielder	
										
WILKINSON, Ian	Goalkeeper	
