-- League --	--- FA Cup ---	---- Other ----

1991/92
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BLACK, Kingsley	Winger	
										
BOARDMAN, Craig	Central Defender	
										
BYRNE, Ray	Central Defender	
										
CHARLES, Gary	Full Back	
										
CHETTLE, Steve	Central Defender	
										
CLOUGH, Nigel	Forward	
										
CROSBY, Gary	Winger	
										
CROSSLEY, Mark	Goalkeeper	
										
GAYNOR, Tommy	Forward	
										
GEMMILL, Scot	Midfielder	
										
GLOVER, Lee	Forward	
										
JEMSON, Nigel	Forward	
										
KAMINSKY, Jason	Forward	
										
KEANE, Roy	Midfielder	
										
LAWS, Brian	Full Back	
										
MARRIOTT, Andy	Goalkeeper	
										
MONCUR, John	Midfielder	
										
ORLYGSSON, Toddi	Midfielder	
										
PARKER, Garry	Midfielder	
										
PEARCE, Stuart	Full Back	
										
SHERINGHAM, Teddy	Forward	
										
SIMPSON, Michael	Midfielder	
										
SMITH, Mark	Goalkeeper	
										
STONE, Steve	Winger	
										
TILER, Carl	Central Defender	
										
WALKER, Des	Central Defender	
										
WASSALL, Darren	Central Defender	
										
WILLIAMS, Brett	Full Back	
										
WILSON, Terry	Central Defender	
										
WOAN, Ian	Winger	
