	-- League --	--- FA Cup ---	---- Other ----

1991/92
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLEN, Paul 	Midfielder	38+1	3	0	2	0	0	14+1	2	0
										
BERGSSON, Gudni 	Central Defender	17+11	1	0	0+1	0	0	8+3	0	0
										
CUNDY, Jason 	Central Defender	10	0	0	0	0	0	0	0	0
										
DURIE, Gordon 	Forward	31	7	0	1	0	0	14	5	0
										
EDINBURGH, Justin 	Full Back	22+1	0	0	0	0	0	4+2	0	0
										
FENWICK, Terry 	Central Defender	22+1	0	0	2	0	0	9	0	0
										
GRAY, Andy 	Midfielder	14	1	0	0	0	0	0	0	0
										
HENDON, Ian 	Full Back	0+2	0	0	0	0	0	1+2	0	0
										
HENDRY, John 	Forward	1+4	1	0	0	0	0	0+1	0	0
										
HODGES, Lee 	Forward	0	0	0	0	0	0	0	0	0
										
HOUGHTON, Scott 	Winger	0+10	2	0	0	0	0	0+4	0	0
										
HOWELLS, David 	Midfielder	27+4	1	0	1	0	0	12	1	0
										
LINEKER, Gary 	Forward	35	28	2	2	0	0	14	7	2
										
MABBUTT, Gary 	Central Defender	40	2	0	2	0	0	15	1	0
										
MAHORN, Paul 	Forward	0	0	0	0	0	0	0	0	0
										
MINTON, Jeff 	Midfielder	2	1	0	0	0	0	0	0	0
										
MONCUR, John 	Midfielder	0	0	0	0	0	0	0+1	0	0
										
MORAH, Ollie 	Forward	0	0	0	0	0	0	0	0	0
										
MORAN, Paul 	Winger	0	0	0	0	0	0	0+1	0	0
										
NAYIM, xxx 	Midfielder	22+9	1	0	0+1	0	0	11+2	0	0
										
NETHERCOTT, Stuart 	Central Defender	0	0	0	0	0	0	0	0	0
										
SAMWAYS, Vinny 	Midfielder	26+1	1	0	2	0	0	13+2	1	0
										
SEDGLEY, Steve 	Midfielder	21+13	0	0	2	0	0	11+4	0	0
										
STEWART, Paul 	Forward	38	5	0	2	0	0	16	1	0
										
THORSTVEDT, Erik 	Goalkeeper	24	0	0	2	0	0	13	0	0
										
TUTTLE, David 	Central Defender	2	0	0	0	0	0	2	1	0
										
VAN DEN HAUWE, Pat 	Full Back	35	0	0	2	0	0	13	0	0
										
WALKER, Ian 	Goalkeeper	18	0	0	0	0	0	3	0	0
										
WALSH, Paul 	Forward	17+12	3	0	2	0	0	3+4	1	0
										
YOUNG, Neil 	Full Back	0	0	0	0	0	0	0	0	0
