Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Jock ",Inside Forward,20,7,0,0,0,0,0,0,0
,"BAGLEY, Billy ",Inside Forward,16,1,0,0,0,0,0,0,0
,"CLARKE, Billy ",Wing Half,1,0,0,0,0,0,0,0,0
,"DONOGHUE, Frank ",Central Defender,0,0,0,0,0,0,0,0,0
,"EASSON, Jimmy ",Inside Forward,36,6,0,4,1,0,0,0,0
,"GILFILLAN, Jock ",Goalkeeper,40,0,0,4,0,0,0,0,0
,"MACKIE, Alex ",Full Back,31,0,0,4,0,0,0,0,0
,"MACKRELL, James ",Full Back,1,0,0,0,0,0,0,0,0
,"MCCARTHY, Len ",Inside Forward,1,0,0,0,0,0,0,0,0
,"MUIR, Robert ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"NICHOL, Jimmy ",Wing Half,39,5,0,4,0,0,0,0,0
,"PARKER, Cliff ",Winger,15,5,0,0,0,0,0,0,0
,"ROCHFORD, Bill ",Full Back,11,0,0,0,0,0,0,0,0
,"ROWE, Tommy ",Central Defender,2,0,0,0,0,0,0,0,0
,"RUTHERFORD, Sep ",Winger,27,6,0,4,0,0,0,0,0
,"SALMOND, Bob ",Central Defender,40,0,0,4,0,0,0,0,0
,"SMITH, Abe ",Wing Half,4,0,0,0,0,0,0,0,0
,"SMITH, Jack ",Inside Forward,14,1,1,4,0,0,0,0,0
,"SMITH, Billy ",Full Back,41,0,0,4,0,0,0,0,0
,"STRONG, Jimmy ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"THACKERAY, David ",Wing Half,40,0,0,4,0,0,0,0,0
,"WEDDLE, Jack ",Centre Forward,39,25,0,4,2,0,0,0,0
,"WORRALL, Fred ",Winger,42,14,0,4,1,0,0,0,0
