Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"CARTER, Raich ",Inside Forward,39,31,5,2,0,0,0,0,0
,"CLARK, Jimmy ",Central Defender,28,0,0,0,0,0,0,0,0
,"CONNOR, Jimmy ",Winger,42,6,0,2,1,0,0,0,0
,"DAVIS, Bert ",Winger,25,10,0,1,0,0,0,0,0
,"DUNS, Len ",Winger,17,5,0,1,0,0,0,0,0
,"GALLACHER, Patsy ",Inside Forward,37,19,0,2,1,0,0,0,0
,"GODDARD, George ",Centre Forward,3,2,0,0,0,0,0,0,0
,"GURNEY, Bobby ",Centre Forward,39,31,0,2,0,0,0,0,0
,"HALL, Alex ",Full Back,38,0,0,2,0,0,0,0,0
,"HASTINGS, Alex ",Wing Half,31,0,0,2,0,0,0,0,0
,"HORNBY, Cecil ",Wing Half,8,2,0,0,0,0,0,0,0
,"JOHNSTON, Bert ",Central Defender,10,0,0,1,0,0,0,0,0
,"MAPSON, Johnny ",Goalkeeper,7,0,0,0,0,0,0,0,0
,"MCDOWALL, Les ",Central Defender,1,0,0,0,0,0,0,0,0
,"MCNAB, Sandy ",Wing Half,13,1,0,1,0,0,0,0,0
,"MIDDLETON, Matt ",Goalkeeper,9,0,0,0,0,0,0,0,0
,"MORRISON, Tom ",Wing Half,21,0,0,2,0,0,0,0,0
,"MURRAY, Bill ",Full Back,21,0,0,0,0,0,0,0,0
,"RODGERSON, Ralph ",Full Back,3,0,0,0,0,0,0,0,0
,"ROYSTON, Bob ",     	Full Back,0,0,0,0,0,0,0,0,0
,"RUSSELL, Jim ",Inside Forward,1,0,0,0,0,0,0,0,0
,"SCOTT, Sammy ",Winger,0,0,0,0,0,0,0,0,0
,"SHAW, Harry ",Full Back,1,0,0,0,0,0,0,0,0
,"THOMSON, Charlie ",Wing Half,42,1,0,2,0,0,0,0,0
,"THORPE, Jimmy ",Goalkeeper,26,0,0,2,0,0,0,0,0
,"WILKINSON, Jack ",Winger,0,0,0,0,0,0,0,0,0
