Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BASTIN, Cliff ",Winger,33,5,3,4,3,0,0,0,0
,"BEASLEY, Pat ",Winger,7,1,0,0,0,0,0,0,0
,"BIGGS, Arthur ",Inside Forward,1,0,0,0,0,0,0,0,0
,"BOSSE, Percy ",Wing Half,0,0,0,0,0,0,0,0,0
,"BOULTON, Frank ",Goalkeeper,21,0,0,4,0,0,0,0,0
,"BOWDEN, Ray ",Inside Forward,28,6,0,2,0,0,1,0,0
,"CARTWRIGHT, Sidney ",Wing Half,2,0,0,0,0,0,0,0,0
,"COMPTON, Denis ",Winger,14,4,0,0,0,0,1,0,0
,"COMPTON, Les ",Central Defender,15,0,0,2,0,0,1,0,0
,"COPPING, Wilf ",Wing Half,38,0,0,4,0,0,1,0,0
,"CRAYSTON, Jack ",Wing Half,30,1,0,2,1,0,1,0,0
,"DAVIDSON, Bobby ",Inside Forward,28,9,0,2,2,0,1,0,0
,"DRAKE, Ted ",Centre Forward,26,20,0,3,7,0,0,0,0
,"EVANS, Jim ",Wing Half,0,0,0,0,0,0,0,0,0
,"GRIFFITHS, Mal ",Winger,0,0,0,0,0,0,0,0,0
,"HAPGOOD, Eddie ",Full Back,32,1,0,2,0,0,1,0,0
,"HULME, Joe ",Winger,3,0,0,0,0,0,0,0,0
,"JAMES, Alex ",Inside Forward,19,1,0,4,0,0,0,0,0
,"JOHN, Bob ",Wing Half,5,0,0,0,0,0,0,0,0
,"JOY, Bernard ",Central Defender,6,0,0,0,0,0,1,0,0
,"KIRCHEN, Alf ",Winger,33,18,0,4,4,0,1,1,0
,"LEWIS, Reg ",Centre Forward,0,0,0,0,0,0,0,0,0
,"MALE, George ",Full Back,37,0,0,4,0,0,0,0,0
,"MARKS, George ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"MCFARLANE, Bobby ",Wing Half,0,0,0,0,0,0,0,0,0
,"MILNE, Jackie ",Winger,19,9,0,3,0,0,1,0,0
,"NELSON, Dave ",Wing Half,8,3,0,0,0,0,0,0,0
,"ROBERTS, Herbie ",Central Defender,30,1,0,4,0,0,0,0,0
,"SEARCH, Jack ",Centre Forward,0,0,0,0,0,0,0,0,0
,"SIDEY, Norman ",Central Defender,6,0,0,0,0,0,0,0,0
,"SWINDIN, George ",Goalkeeper,19,0,0,0,0,0,1,0,0
,"WALSH, Wilf ",Inside Forward,0,0,0,0,0,0,0,0,0
,"WILSON, Alex ",Goalkeeper,2,0,0,0,0,0,0,0,0
