Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Jimmy ",Central Defender,41,0,0,3,1,0,0,0,0
,"BERESFORD, Reg ",Wing Half,0,0,0,0,0,0,0,0,0
,"BIDDLESTONE, Fred ",Goalkeeper,25,0,0,3,0,0,0,0,0
,"BRIGGS, Frank ",Wing Half,0,0,0,0,0,0,0,0,0
,"BROOME, Frank ",Winger,33,16,0,3,0,0,0,0,0
,"CALLAGHAN, Ernie ",Full Back,42,0,0,3,0,0,0,0,0
,"CLAYTON, James ",Centre Forward,2,0,0,0,0,0,0,0,0
,"COBLEY, William ",Full Back,2,0,0,0,0,0,0,0,0
,"CUMMINGS, George ",Full Back,40,0,0,3,0,0,0,0,0
,"EDWARDS, George ",Winger,3,0,0,0,0,0,0,0,0
,"HAYCOCK, Freddie ",Inside Forward,38,10,0,3,2,0,0,0,0
,"HOUGHTON, Eric ",Winger,35,12,4,3,0,0,0,0,0
,"IVERSON, Bob ",Wing Half,42,2,0,3,0,0,0,0,0
,"KERR, Albert ",Winger,16,4,0,0,0,0,0,0,0
,"LUNN, George ",Central Defender,0,0,0,0,0,0,0,0,0
,"MARTIN, Jackie ",Inside Forward,22,9,0,0,0,0,0,0,0
,"MASSIE, Alex ",Wing Half,42,0,0,3,0,0,0,0,0
,"MOSS, Frank ",Central Defender,2,0,0,0,0,0,0,0,0
,"O'DONNELL, Frank ",Centre Forward,29,14,0,2,0,0,0,0,0
,"PERRY, Colin ",Winger,0,0,0,0,0,0,0,0,0
,"RUTHERFORD, Joe ",Goalkeeper,11,0,0,0,0,0,0,0,0
,"SHELL, Frank ",Centre Forward,3,0,0,1,0,0,0,0,0
,"STARLING, Ronnie ",Inside Forward,28,3,0,3,0,0,0,0,0
,"WAKEMAN, Alan ",Goalkeeper,6,0,0,0,0,0,0,0,0
