Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARLOW, Bert ",Inside Forward,24,9,0,0,0,0,0,0,0
,"BLACKWELL, Wilf ",Winger,0,0,0,0,0,0,0,0,0
,"BOWLER, Gerry ",Central Defender,2,0,0,1,0,0,0,0,0
,"BROWN, Tommy ",Inside Forward,17,1,0,0,0,0,0,0,0
,"BUTLER, Ernie ",Goalkeeper,40,0,0,2,0,0,0,0,0
,"CLARKE, Ike ",Centre Forward,17,5,0,2,1,0,0,0,0
,"DICKINSON, Jimmy ",Wing Half,42,0,0,2,0,0,0,0,0
,"DRUMMOND, Ian ",Full Back,0,0,0,1,0,0,0,0,0
,"EGGLESTONE, Pat ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"FERRIER, Harry ",Full Back,28,1,0,0,0,0,0,0,0
,"FLEWIN, Reg ",Central Defender,28,0,0,2,0,0,0,0,0
,"FROGGATT, Jack ",Winger,36,14,0,2,0,0,0,0,0
,"HARRIS, Peter ",Winger,40,13,0,2,1,0,0,0,0
,"HINDMARSH, Billy ",Full Back,1,0,0,0,0,0,0,0,0
,"HUDSON, Garth ",Central Defender,1,0,0,0,0,0,0,0,0
,"HUMPSTON, Ron ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"JULIUSSEN, Albert ",Centre Forward,7,4,0,0,0,0,0,0,0
,"LAWLER, Jimmy ",Wing Half,0,0,0,0,0,0,0,0,0
,"LUNN, Harry ",Winger,1,0,0,0,0,0,0,0,0
,"MCALINDEN, Jimmy ",Inside Forward,1,0,0,0,0,0,0,0,0
,"MCCOY, Wilf ",     	Central Defender,13,0,0,0,0,0,0,0,0
,"NEAVE, Gordon ",Wing Half,0,0,0,0,0,0,0,0,0
,"PARKER, Cliff ",Winger,15,1,0,0,0,0,0,0,0
,"PHILLIPS, Len ",Inside Forward,13,3,0,0,0,0,0,0,0
,"REID, Duggie ",Inside Forward,31,14,1,2,1,0,0,0,0
,"ROOKES, Phil ",Full Back,41,0,0,2,0,0,0,0,0
,"SCOULAR, Jimmy ",Wing Half,40,1,0,1,0,0,0,0,0
,"TOASE, Don ",Full Back,0,0,0,0,0,0,0,0,0
,"WHARTON, Guy ",Wing Half,7,1,0,2,1,0,0,0,0
,"YEUELL, Jasper ",Full Back,15,0,0,1,0,0,0,0,0
