Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BECKETT, Roy ",Central Defender,4,0,0,0,0,0,0,0,0
,"BOURNE, George ",Full Back,20,0,0,0,0,0,0,0,0
,"BOWYER, Frank ",Inside Forward,29,3,0,2,0,0,0,0,0
,"BROWN, Roy ",Centre Forward,16,8,0,0,0,0,0,0,0
,"CONNOR, Harry ",Winger,2,1,0,0,0,0,0,0,0
,"DOYLE, Brian ",Full Back,17,0,0,2,0,0,0,0,0
,"ELLIOTT, Frank ",Goalkeeper,12,0,0,1,0,0,0,0,0
,"FARROW, Des ",Wing Half,3,0,0,0,0,0,0,0,0
,"FINNEY, Bill ",Centre Forward,21,4,0,1,1,0,0,0,0
,"HEROD, Dennis ",Goalkeeper,11,0,0,1,0,0,0,0,0
,"JOHNSTON, Les ",Inside Forward,14,3,0,0,0,0,0,0,0
,"KIRTON, Jock ",Wing Half,3,0,0,0,0,0,0,0,0
,"MALKIN, Jack ",Winger,24,2,0,2,0,0,0,0,0
,"MARTIN, Alan ",Inside Forward,29,4,0,1,0,0,0,0,0
,"MCCLELLAND, Johnny ",Inside Forward,4,0,0,0,0,0,0,0,0
,"MCCUE, John ",Full Back,36,0,0,2,0,0,0,0,0
,"MCINTOSH, Willie ",Centre Forward,2,1,0,0,0,0,0,0,0
,"MOUNTFORD, Frank ",Wing Half,37,5,3,2,0,0,0,0,0
,"MOUNTFORD, George ",Winger,4,0,0,0,0,0,0,0,0
,"OSCROFT, Harry ",Winger,37,10,0,2,0,0,0,0,0
,"ROBERTSON, Bill ",Goalkeeper,19,0,0,0,0,0,0,0,0
,"SELLARS, Johnny ",Wing Half,37,1,0,2,0,0,0,0,0
,"SIDDALL, Brian ",Inside Forward,21,1,0,0,0,0,0,0,0
,"SMYTH, Sammy ",Inside Forward,14,5,0,0,0,0,0,0,0
,"THOMSON, Ken ",Central Defender,38,2,0,2,0,0,0,0,0
,"WARD, Derrick ",Winger,2,0,0,0,0,0,0,0,0
,"WATERS, Billy ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"WHISTON, Don ",Full Back,6,2,0,2,1,0,0,0,0
