Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADAM, Jimmy ",Winger,32,3,0,1,0,0,0,0,0
,"BAYNHAM, Ron ",Goalkeeper,41,0,0,1,0,0,0,0,0
,"BROWN, Allan ",Inside Forward,33,12,0,1,0,0,0,0,0
,"CULLEN, Mick ",Inside Forward,17,2,0,0,0,0,0,0,0
,"CUMMINS, George ",Inside Forward,15,1,0,0,0,0,0,0,0
,"DUNNE, Shay ",Full Back,41,0,0,1,0,0,0,0,0
,"GREGORY, Tony ",Wing Half,6,4,0,0,0,0,0,0,0
,"GROVES, John ",Wing Half,31,4,0,1,0,0,0,0,0
,"HAWKES, Ken ",Full Back,22,0,0,1,0,0,0,0,0
,"JONES, Les ",Full Back,19,0,0,0,0,0,0,0,0
,"KELLY, Terry ",Central Defender,8,0,0,0,0,0,0,0,0
,"MARSH, Eddie ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"MCGUFFIE, Alwin ",Wing Half,9,0,0,0,0,0,0,0,0
,"MCLEOD, George ",Winger,34,4,0,1,0,0,0,0,0
,"MCNALLY, Brendan ",Full Back,2,0,0,0,0,0,0,0,0
,"MORTON, Bob ",Wing Half,27,2,0,1,0,0,0,0,0
,"OWEN, Syd ",Central Defender,36,0,0,1,0,0,0,0,0
,"PACEY, Dave ",Wing Half,12,1,0,0,0,0,0,0,0
,"PEARCE, Reg ",Wing Half,29,1,0,1,0,0,0,0,0
,"ROWLAND, David ",Inside Forward,1,0,0,0,0,0,0,0,0
,"TURNER, Gordon ",Inside Forward,40,33,2,1,0,0,0,0,0
,"WHITBY, Brian ",Winger,6,1,0,0,0,0,0,0,0
