Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Johnny ",Goalkeeper,5,0,0,0,0,0,0,0,0
,"APPLETON, Colin ",Wing Half,12,0,0,0,0,0,0,0,0
,"BAILLIE, Joe ",Full Back,37,0,0,4,0,0,0,0,0
,"CALDER, Bill ",Centre Forward,3,0,0,0,0,0,0,0,0
,"CHALMERS, Len ",Full Back,11,0,0,0,0,0,0,0,0
,"CUNNINGHAM, Willie ",Full Back,28,0,0,4,0,0,0,0,0
,"HINES, Derek ",Centre Forward,16,7,0,4,1,0,0,0,0
,"KELLY, Bernie ",Inside Forward,24,13,1,3,2,0,0,0,0
,"KEYWORTH, Ken ",Centre Forward,32,2,0,4,0,0,0,0,0
,"KING, Ian ",Central Defender,22,0,0,4,0,0,0,0,0
,"KNAPP, Tony ",Central Defender,23,0,0,0,0,0,0,0,0
,"LEEK, Ken ",Forward,31,7,0,4,1,0,0,0,0
,"LORNIE, Jackie ",Centre Forward,5,2,0,0,0,0,0,0,0
,"MACFARLANE, Ian ",Full Back,1,0,0,0,0,0,0,0,0
,"MACLAREN, Dave ",Goalkeeper,37,0,0,4,0,0,0,0,0
,"MCDONALD, Tommy ",Winger,29,4,0,0,0,0,0,0,0
,"MCNEILL, Ian ",Inside Forward,12,1,0,3,1,0,0,0,0
,"NEWMAN, John ",Central Defender,42,2,0,4,0,0,0,0,0
,"OGILVIE, John ",Full Back,5,2,2,0,0,0,0,0,0
,"PUNTER, Brian ",Centre Forward,0,0,0,0,0,0,0,0,0
,"RILEY, Howard ",Winger,13,4,0,4,0,0,0,0,0
,"STEPHENSON, Roy ",Winger,10,0,0,0,0,0,0,0,0
,"WALKER, Don ",Wing Half,4,0,0,1,0,0,0,0,0
,"WALSH, Jimmy ",Inside Forward,38,20,0,1,0,0,0,0,0
,"WILLS, Gordon ",Winger,22,2,0,0,0,0,0,0,0
