Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAKER, Colin ",Wing Half,42,1,0,1,0,0,4,0,0
,"CHARLES, Mel ",Wing Half,12,3,0,0,0,0,0,0,0
,"DONNELLY, Peter ",Inside Forward,4,1,0,0,0,0,0,0,0
,"DURBAN, Alan ",Midfielder,20,1,0,0,0,0,3,0,0
,"EDWARDS, Trevor ",Full Back,7,0,0,0,0,0,0,0,0
,"GAMMON, Steve ",Wing Half,6,0,0,0,0,0,0,0,0
,"HARRINGTON, Alan ",Full Back,36,1,0,1,0,0,4,0,0
,"HOGG, Derek ",Winger,15,1,0,0,0,0,1,0,0
,"HOLDER, Dave ",Central Defender,0,0,0,0,0,0,0,0,0
,"HOLE, Barrie ",Midfielder,37,1,0,1,0,0,4,0,0
,"JOHN, Dilwyn ",Goalkeeper,21,0,0,0,0,0,3,0,0
,"KING, Johnny ",Centre Forward,33,6,1,1,0,0,4,2,0
,"KING, Peter ",Forward,26,1,0,1,0,0,2,0,0
,"MCCARTHY, Danny ",Winger,7,0,0,0,0,0,2,0,0
,"MCINTOSH, Alan ",Winger,2,0,0,0,0,0,0,0,0
,"MILNE, Alec ",Full Back,42,1,0,1,0,0,4,0,0
,"MOORE, Graham ",Midfielder,14,2,0,0,0,0,1,1,0
,"PICKRELL, Tony ",Winger,16,4,0,1,0,0,1,0,0
,"RANKMORE, Frank ",Central Defender,37,0,0,1,0,0,3,0,0
,"REECE, Gil ",Winger,0,0,0,0,0,0,0,0,0
,"STITFALL, Ron ",Full Back,6,0,0,0,0,0,0,0,0
,"SWAN, Maurice ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"TAPSCOTT, Derek ",Inside Forward,22,9,0,1,0,0,1,0,0
,"VEARNCOMBE, Graham ",Goalkeeper,20,0,0,1,0,0,1,0,0
,"WALSH, Brian ",Winger,5,0,0,0,0,0,2,0,0
,"WARD, Dai ",Inside Forward,31,17,0,1,0,0,3,2,0
,"WILLIAMS, Gareth ",Midfielder,0,0,0,0,0,0,1,0,0
