Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ACKERLEY, Ernie ",Centre Forward,0,0,0,0,0,0,0,0,0
,"BRADSHAW, Alan ",Midfielder,1,1,0,0,0,0,0,0,0
,"BRAY, John ",Full Back,38,0,0,2,0,0,5,0,0
,"BRENNAN, Ray ",Inside Forward,0,0,0,0,0,0,0,0,0
,"BYROM, John ",Forward,19,8,0,2,1,0,0,0,0
,"CLAYTON, Ronnie ",Midfielder,35,1,0,1,0,0,5,0,0
,"COLLINS, John ",Full Back,0,0,0,0,0,0,0,0,0
,"CRAIG, Bobby ",Inside Forward,6,3,0,0,0,0,2,0,0
,"DOUGLAS, Bryan ",Winger,41,15,4,2,0,0,4,1,0
,"ELSE, Fred ",Goalkeeper,40,0,0,2,0,0,5,0,0
,"ENGLAND, Mike ",Central Defender,17,2,0,1,0,0,0,0,0
,"FERGUSON, Mike ",Winger,30,7,0,2,0,0,4,1,0
,"GRIFFITHS, Barry ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"HARRISON, Mike ",Winger,31,4,0,2,0,0,1,0,0
,"HAVERTY, Joe ",Winger,4,0,0,0,0,0,0,0,0
,"JONES, Bobby ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"LAWTHER, Ian ",Forward,22,7,0,0,0,0,5,5,0
,"MCEVOY, Andy ",Inside Forward,13,4,0,0,0,0,0,0,0
,"MCGRATH, Mick ",Wing Half,25,2,0,2,0,0,4,0,0
,"NEWTON, Keith ",Full Back,41,0,0,2,0,0,5,0,0
,"PICKERING, Fred ",Forward,36,23,0,2,1,0,5,4,0
,"RATCLIFFE, Barrie ",Winger,10,1,0,0,0,0,4,2,0
,"TAYLOR, Ken ",Full Back,11,0,0,0,0,0,1,0,0
,"TONG, Ray ",Winger,0,0,0,0,0,0,0,0,0
,"WOODS, Matt ",Central Defender,40,0,0,2,0,0,5,0,0
,"WORSWICK, Micky ",Winger,0,0,0,0,0,0,0,0,0
