Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BOND, John ",Full Back,14,0,0,0,0,0,2,0,0
,"BOVINGTON, Eddie ",Midfielder,10,0,0,4,0,0,1,0,0
,"BOYCE, Ronnie ",Midfielder,27,3,0,5,2,0,1,0,0
,"BRABROOK, Peter ",Winger,29,7,0,5,0,0,0,0,0
,"BRITT, Martin ",Centre Forward,1,0,0,0,0,0,0,0,0
,"BROWN, Ken ",Central Defender,40,2,0,5,0,0,2,0,0
,"BURKETT, Jack ",Full Back,38,0,0,5,0,0,2,0,0
,"BYRNE, Johnny ",Forward,30,9,0,5,2,2,2,3,1
,"CHARLES, John ",Full Back,1,0,0,0,0,0,0,0,0
,"CRAWFORD, Ian ",Full Back,5,0,0,0,0,0,0,0,0
,"DEAR, Brian ",Forward,3,0,0,0,0,0,0,0,0
,"DICK, John ",Inside Forward,2,0,0,0,0,0,0,0,0
,"DICKIE, Alan ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"HURST, Geoff ",Forward,27,13,1,0,0,0,2,2,0
,"KIRKUP, Joe ",Full Back,27,1,0,5,0,0,0,0,0
,"LANSDOWNE, Bill ",Wing Half,1,0,0,0,0,0,0,0,0
,"LESLIE, Lawrie ",Goalkeeper,20,0,0,0,0,0,2,0,0
,"LYALL, John ",Full Back,4,0,0,0,0,0,0,0,0
,"MOORE, Bobby ",Central Defender,41,3,0,5,0,0,1,0,0
,"MORRIS, Mick ",Winger,0,0,0,0,0,0,0,0,0
,"MUSGROVE, Malcolm ",Winger,15,7,0,0,0,0,2,1,0
,"PETERS, Martin ",Midfielder,36,8,2,1,0,0,2,1,0
,"RHODES, Brian ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"SCOTT, Tony ",Winger,27,10,0,5,0,0,2,0,0
,"SEALEY, Alan ",Forward,26,6,0,5,0,0,0,0,0
,"SISSONS, John ",Winger,1,0,0,0,0,0,0,0,0
,"STANDEN, Jim ",Goalkeeper,18,0,0,5,0,0,0,0,0
,"WEBB, Dave ",Central Defender,0,0,0,0,0,0,0,0,0
,"WOOSNAM, Phil ",Inside Forward,15,1,0,0,0,0,1,0,0
