Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARMFIELD, Jimmy ",Full Back,35,1,0,2,0,0,2,0,0
,"BALL, Alan ",Midfielder,41,17,6,2,0,0,2,1,1
,"BROWN, Ronnie ",Winger,2,0,0,0,0,0,0,0,0
,"CHARNLEY, Ray ",Forward,41,16,1,2,1,0,2,2,0
,"CONWAY, Peter ",Central Defender,0,0,0,0,0,0,1,0,0
,"CRAVEN, John ",Midfielder,9,0,0,0,0,0,2,0,0
,"FISHER, Hugh ",Midfielder,27,0,0,2,0,0,1,0,0
,"GREEN, Johnny ",Central Defender,26,2,0,2,0,0,2,1,0
,"HORNE, Des ",Winger,16,0,0,2,0,0,2,1,0
,"HUGHES, Emlyn ",Central Defender,1,0,0,0,0,0,0,0,0
,"JAMES, Glyn ",Central Defender,37,1,0,2,1,0,1,0,0
,"JONES, Philip ",Winger,0,0,0,0,0,0,0,0,0
,"LEA, Les ",Winger,26,4,0,2,0,0,2,1,0
,"MCPHEE, John ",Central Defender,30,0,0,1,0,0,1,0,0
,"MOIR, Ian ",Winger,25,3,0,0,0,0,1,0,0
,"OATES, Graham ",Winger,21,1,0,0,0,0,0,0,0
,"PARRY, Dave ",Winger,0,0,0,0,0,0,0,0,0
,"PRENTIS, John ",Full Back,5,0,0,0,0,0,0,0,0
,"ROBSON, Jimmy ",Forward,20,6,0,0,0,0,0,0,0
,"ROWE, Graham ",Midfielder,13,0,0,0,0,0,0,0,0
,"TAYLOR, Alan ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"THOMPSON, Tommy ",Full Back,34,1,0,2,0,0,0,0,0
,"TURNER, Neil ",Midfielder,7,1,0,0,0,0,1,0,0
,"WADDELL, Bobby ",Centre Forward,14,1,0,1,0,0,0,0,0
,"WAITERS, Tony ",Goalkeeper,40,0,0,2,0,0,2,0,0
