Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Stan ",Wing Half,16,1,0,0,0,0,1,0,0
,"BENNETT, Albert ",Forward,25,9,0,0,0,0,1,1,0
,"BURTON, Ollie ",Central Defender,16,0,0,2,0,0,1,0,0
,"CLAPHAM, Graham ",Midfielder,0,0,0,0,0,0,0,0,0
,"CLARK, Frank ",Full Back,36,0,0,2,0,0,1,0,0
,"CRAIG, David ",Full Back,38,0,0,2,1,0,0,0,0
,"CUMMINGS, Bobby ",Forward,4,1,0,0,0,0,0,0,0
,"FINNIGAN, Ray ",Full Back,0,0,0,0,0,0,0,0,0
,"HILLEY, Dave ",Forward,42,5,0,2,0,0,1,1,0
,"HOCKEY, Trevor ",Winger,16,1,0,0,0,0,1,0,0
,"HOLLINS, Dave ",Goalkeeper,9,0,0,0,0,0,0,0,0
,"ILEY, Jim ",Midfielder,39,3,0,2,0,0,1,1,0
,"KETTLEBOROUGH, Keith ",Midfielder,18,0,0,2,0,0,0,0,0
,"KNOX, Tommy ",Winger,8,0,0,0,0,0,1,0,0
,"LUKE, George ",Wing Half,0,0,0,0,0,0,0,0,0
,"MARSHALL, Gordon ",Goalkeeper,33,0,0,2,0,0,1,0,0
,"MCGARRY, Ron ",Forward,23,4,1,2,1,0,1,0,0
,"MCGRATH, John ",Central Defender,37,1,0,2,0,0,0,0,0
,"MCNALLY, Paul ",Midfielder,0,0,0,0,0,0,0,0,0
,"MELLING, Terry ",Forward,0,0,0,0,0,0,0,0,0
,"MONCUR, Bobby ",Central Defender,22,0,0,0,0,0,1,0,0
,"NAPIER, Kit ",Forward,8,0,0,0,0,0,0,0,0
,"NOBLE, Peter ",Forward,9,0,0,0,0,0,0,0,0
,"PENMAN, Willie ",Midfielder,12,0,0,0,0,0,0,0,0
,"ROBSON, Bryan ",     	Forward,23,9,1,2,1,0,0,0,0
,"SUDDICK, Alan ",Midfielder,29,14,0,2,1,0,0,0,0
,"THOMPSON, Billy ",Central Defender,11,1,0,0,0,0,0,0,0
