Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BADGER, Len ",Full Back,41,1,0,2,0,0,1,0,0
,"BARLOW, Frank ",Central Defender,9,0,0,0,0,0,0,0,0
,"BIRCHENALL, Alan ",Midfielder,28,8,0,2,2,0,1,0,0
,"COLDWELL, Cec ",Full Back,1,0,0,0,0,0,0,0,0
,"DOCHERTY, John ",Winger,12,2,1,0,0,0,1,0,0
,"FENOUGHTY, Tom ",Midfielder,9,3,0,1,0,0,0,0,0
,"FINNIGAN, Denis ",Central Defender,2,0,0,0,0,0,1,0,0
,"HANCOX, David ",Forward,0,0,0,0,0,0,0,0,0
,"HARTLE, Barry ",Winger,13,2,0,0,0,0,0,0,0
,"HODGKINSON, Alan ",Goalkeeper,41,0,0,2,0,0,1,0,0
,"JONES, Mick ",Forward,40,21,0,1,0,0,1,0,0
,"KETTLEBOROUGH, Keith ",Midfielder,24,1,0,0,0,0,1,0,0
,"MALLENDER, Ken ",Central Defender,36,2,0,2,0,0,1,0,0
,"MATTHEWSON, Reg ",Central Defender,36,1,0,2,0,0,0,0,0
,"MUNKS, David ",Central Defender,21,0,0,0,0,0,1,0,0
,"REECE, Gil ",Winger,29,7,0,2,0,0,1,1,0
,"SHAW, Bernard ",Full Back,7,0,0,0,0,0,0,0,0
,"SHAW, Graham ",Full Back,2,0,0,0,0,0,0,0,0
,"SHAW, Joe ",Central Defender,27,0,0,2,0,0,0,0,0
,"STOPFORD, Alan ",Winger,0,0,0,0,0,0,0,0,0
,"WAGSTAFF, Tony ",Midfielder,31,1,0,2,0,0,0,0,0
,"WAGSTAFF, Barry ",Midfielder,35,3,0,2,0,0,1,0,0
,"WIDDOWSON, Bob ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"WOODWARD, Alan ",Winger,23,3,1,2,1,0,0,0,0
