Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Tony ",Full Back,8,0,0,0,0,0,1,0,0
,"BANKS, Gordon ",Goalkeeper,38,0,0,3,0,0,1,0,0
,"BERNARD, Mike ",Midfielder,11,1,0,0,0,0,0,0,0
,"BLOOR, Alan ",Central Defender,36,0,0,3,0,0,0,0,0
,"BURROWS, Harry ",Winger,34,14,4,3,0,0,1,0,0
,"CONROY, Terry ",Forward,31,2,0,2,0,0,0,0,0
,"DOBING, Peter ",Midfielder,40,6,0,3,0,0,1,0,0
,"DOWD, Harry ",Goalkeeper,3,0,0,0,0,0,0,0,0
,"EASTHAM, George ",Midfielder,34,1,0,2,0,0,1,0,0
,"ELDER, Alex ",Full Back,9,0,0,0,0,0,1,0,0
,"EVANS, Wyndham ",Full Back,0,0,0,0,0,0,0,0,0
,"FARMER, John ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"GREENHOFF, Jimmy ",Forward,33,9,0,3,0,0,1,0,0
,"HERD, David ",Forward,9,2,0,0,0,0,0,0,0
,"MAHONEY, John ",Midfielder,2,0,0,0,0,0,0,0,0
,"MARSH, Jackie ",Full Back,36,0,0,3,0,0,1,0,0
,"PEJIC, Mike ",Full Back,32,1,0,3,0,0,0,0,0
,"RITCHIE, John ",Forward,33,14,1,2,2,0,1,0,0
,"SKEELS, Eric ",Central Defender,35,0,0,1,0,0,1,0,0
,"SMITH, Denis ",Central Defender,40,4,0,3,0,0,1,0,0
,"STEVENSON, Willie ",Midfielder,20,2,0,3,1,0,0,0,0
