Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BOULTON, Colin ",Goalkeeper,19,0,0,3,0,0,0,0,0
,"BOURNE, Jeff ",Forward,2,0,0,0,0,0,0,0,0
,"BUTLIN, Barry ",Forward,1,0,0,0,0,0,0,0,0
,"CARLIN, Willie ",Midfielder,13,0,0,0,0,0,5,0,0
,"DANIEL, Peter ",Central Defender,5,0,0,1,0,0,2,0,0
,"DURBAN, Alan ",Midfielder,28,4,0,2,0,0,5,5,0
,"GEMMILL, Archie ",Midfielder,31,3,1,3,1,0,0,0,0
,"GREEN, Les ",Goalkeeper,23,0,0,0,0,0,6,0,0
,"HECTOR, Kevin ",Forward,42,11,0,3,0,0,6,3,0
,"HENNESSEY, Terry ",Central Defender,12,0,0,1,0,0,1,0,0
,"HINTON, Alan ",Winger,34,10,3,2,1,1,6,2,1
,"MACKAY, Dave ",Wing Half,42,2,0,3,0,0,5,2,0
,"MCFARLAND, Roy ",Central Defender,35,2,0,3,0,0,6,1,0
,"MCGOVERN, John ",Midfielder,34,6,0,3,0,0,5,2,0
,"O'HARE, John ",Forward,42,13,0,3,1,0,6,2,0
,"RHODES, Tony ",Central Defender,3,0,0,0,0,0,1,0,0
,"RICHARDSON, John ",Full Back,8,0,0,0,0,0,0,0,0
,"ROBSON, John ",Full Back,35,0,0,2,0,0,6,0,0
,"TODD, Colin ",Central Defender,14,0,0,0,0,0,0,0,0
,"WALKER, Jim ",Full Back,1,0,0,0,0,0,0,0,0
,"WEBSTER, Ron ",Full Back,35,0,0,3,0,0,6,0,0
,"WIGNALL, Frank ",Forward,17,4,0,1,1,0,4,0,0
