Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BELL, Colin ",Midfielder,33,12,0,2,0,0,1,2,0
,"BOOK, Tony ",Full Back,40,1,0,2,0,0,3,0,0
,"BOOTH, Tommy ",Central Defender,40,4,0,2,0,0,3,0,0
,"BRENNAN, Mike ",Forward,0,0,0,0,0,0,2,0,0
,"CARTER, Steve ",Winger,1,1,0,0,0,0,1,0,0
,"CONNOR, Dave ",Full Back,8,1,0,0,0,0,1,0,0
,"CORRIGAN, Joe ",Goalkeeper,35,0,0,2,0,0,3,0,0
,"DAVIES, Wyn ",Forward,40,8,0,2,0,0,3,1,0
,"DONACHIE, Willie ",Full Back,37,0,0,2,0,0,4,0,0
,"DOYLE, Mike ",Central Defender,41,1,0,2,0,0,3,1,0
,"HANVEY, Keith ",Full Back,0,0,0,0,0,0,1,0,0
,"HEALEY, Ron ",Goalkeeper,7,0,0,0,0,0,2,0,0
,"HENSON, Phil ",Midfielder,1,0,0,0,0,0,1,0,0
,"HESLOP, George ",Central Defender,7,0,0,0,0,0,1,0,0
,"HILL, Freddie ",Midfielder,6,1,0,0,0,0,2,0,0
,"JEFFRIES, Derek ",Central Defender,12,0,0,0,0,0,4,0,0
,"JOHNSON, Jeff ",Midfielder,1,0,0,0,0,0,1,0,0
,"KAVANAGH, Eamonn ",Midfielder,0,0,0,0,0,0,0,0,0
,"LEE, Francis ",Forward,42,33,13,2,1,1,3,1,1
,"MARSH, Rodney ",Forward,8,4,0,0,0,0,0,0,0
,"MCBETH, George ",Winger,0,0,0,0,0,0,0,0,0
,"MELLOR, Ian ",Winger,22,3,0,0,0,0,2,1,0
,"OAKES, Alan ",Midfielder,32,0,0,2,0,0,0,0,0
,"SUMMERBEE, Mike ",Winger,40,3,0,2,0,0,3,0,0
,"TOWERS, Tony ",Midfielder,21,3,0,2,0,0,3,0,0
,"YOUNG, Neil ",Forward,5,0,0,0,0,0,0,0,0
