Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AITKEN, Glenn ",Full Back,0,0,0,0,0,0,0,0,0
,"BAILEY, Mike ",Midfielder,20,2,0,1,0,0,8,0,0
,"COLLINS, Micky ",Forward,0,0,0,0,0,0,0,0,0
,"CURRAN, Hugh ",Forward,4,0,0,2,0,0,2,0,0
,"DALEY, Steve ",Midfielder,10,2,0,0,0,0,2,1,0
,"DEVLIN, Doug ",Midfielder,0,0,0,0,0,0,0,0,0
,"DOUGAN, Derek ",Forward,38,15,0,0,0,0,13,9,0
,"EASTOE, Peter ",Forward,3,0,0,0,0,0,0,0,0
,"GOULD, Bobby ",Forward,6,1,0,0,0,0,0,0,0
,"HEGAN, Danny ",Midfielder,23,3,0,0,0,0,8,2,0
,"HIBBITT, Ken ",Midfielder,34,7,0,2,0,0,11,2,0
,"KENT, Mike ",Midfielder,1,0,0,0,0,0,0,0,0
,"MCALLE, John ",Central Defender,42,0,0,2,0,0,13,3,0
,"MCCALLIOG, Jim ",Midfielder,38,11,5,2,1,0,11,3,0
,"MUNRO, Frank ",Central Defender,37,3,0,2,0,0,12,2,0
,"O'GRADY, Mike ",Winger,4,0,0,0,0,0,3,0,0
,"PARKES, Phil ",Goalkeeper,42,0,0,2,0,0,13,0,0
,"PARKIN, Derek ",Full Back,32,2,1,2,0,0,8,1,1
,"RICHARDS, John ",Forward,35,13,0,2,0,0,11,3,0
,"SHAW, Bernard ",Full Back,41,1,0,2,0,0,11,0,0
,"SUNDERLAND, Alan ",Forward,8,0,0,1,0,0,4,0,0
,"TAYLOR, Gerry ",Full Back,21,1,0,1,0,0,9,0,0
,"WAGSTAFFE, Dave ",Winger,39,2,0,2,0,0,12,1,0
,"WALKER, Paul ",Midfielder,4,0,0,0,0,0,0,0,0
,"WILSON, Les ",Full Back,2,0,0,0,0,0,1,0,0
