Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ABBOTT, Ron ",Central Defender,7,1,0,0,0,0,0,0,0
,"BECK, John ",Midfielder,5,0,0,0,0,0,0,0,0
,"BOWLES, Stan ",Midfielder,42,19,1,6,2,0,3,1,0
,"BUSBY, Martyn ",Midfielder,6,0,0,0,0,0,3,0,0
,"CLEMENT, Dave ",Full Back,38,1,0,4,0,0,3,0,0
,"DELVE, John ",Midfielder,6,0,0,0,0,0,1,0,0
,"EVANS, Ian ",Central Defender,5,0,0,0,0,0,0,0,0
,"FRANCIS, Gerry ",Midfielder,40,8,2,6,0,0,3,1,0
,"FRENCH, Mickey ",Forward,0,0,0,0,0,0,0,0,0
,"GILLARD, Ian ",Full Back,23,0,0,6,0,0,0,0,0
,"GIVENS, Don ",Forward,42,10,0,6,2,0,3,3,0
,"HAZELL, Tony ",Central Defender,31,0,0,3,0,0,3,0,0
,"LEACH, Mick ",Midfielder,40,6,0,6,1,0,2,2,0
,"MANCINI, Terry ",Central Defender,40,1,0,6,0,0,3,0,0
,"MCLINTOCK, Frank ",Midfielder,26,1,0,6,0,0,3,0,0
,"PARKES, Phil ",Goalkeeper,42,0,0,6,0,0,3,0,0
,"THOMAS, Dave ",Winger,41,6,0,6,1,0,3,0,0
,"VENABLES, Terry ",Midfielder,36,2,1,6,0,0,3,0,0
,"WATSON, Ian ",Full Back,6,0,0,0,0,0,0,0,0
