Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BALDERSTONE, Chris ",Midfielder,31,1,1,2,0,0,4,0,0
,"BARRY, Mike ",Winger,12,0,0,1,0,0,2,1,0
,"CARR, Peter ",Full Back,39,1,0,3,0,0,5,0,0
,"CLARKE, Frank ",Forward,32,4,0,2,1,0,2,0,0
,"CLARKE, Tom ",Goalkeeper,9,0,0,0,0,0,1,0,0
,"GORMAN, John ",Full Back,31,0,0,3,0,0,5,0,0
,"GREEN, Bill ",Central Defender,42,1,0,4,0,0,5,0,0
,"LAIDLAW, Joe ",Midfielder,34,12,2,4,2,0,5,1,0
,"MARTIN, Dennis ",Winger,38,7,0,3,0,0,3,1,0
,"MCCARTNEY, Mike ",Full Back,2,0,0,0,0,0,0,0,0
,"MCILMOYLE, Hugh ",Forward,18,2,0,0,0,0,4,0,0
,"O'NEILL, Les ",Midfielder,36,8,0,4,0,0,4,1,0
,"OWEN, Bobby ",Forward,23,3,0,4,2,0,0,0,0
,"PARKER, Bobby ",Central Defender,42,1,1,4,0,0,5,0,0
,"PRUDHAM, Eddie ",Forward,6,1,0,0,0,0,0,0,0
,"ROSS, Allan ",Goalkeeper,33,0,0,4,0,0,4,0,0
,"SPEARRITT, Eddie ",Full Back,14,0,0,2,0,0,1,0,0
,"TRAIN, Ray ",Midfielder,42,2,0,4,0,0,5,0,0
,"WINSTANLEY, Graham ",Central Defender,1,0,0,0,0,0,1,0,0
