Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BERNARD, Mike ",Midfielder,15,1,1,1,0,0,4,0,0
,"BRAND, Drew ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"BUCKLEY, Mick ",Midfielder,11,0,0,2,0,0,0,0,0
,"DARRACOTT, Terry ",Full Back,23,0,0,4,0,0,5,0,0
,"DAVIES, Dai ",Goalkeeper,26,0,0,0,0,0,4,0,0
,"DOBSON, Martin ",Midfielder,40,8,0,6,1,0,8,2,0
,"ESSER, David ",Midfielder,0,0,0,0,0,0,0,0,0
,"GOODLASS, Ronnie ",Winger,31,2,0,7,0,0,9,0,0
,"HAMILTON, Bryan ",Midfielder,18,0,0,3,0,0,9,0,0
,"HIGGINS, Mark ",Central Defender,2,0,0,0,0,0,0,0,0
,"JONES, Dave ",Full Back,28,1,0,4,1,0,7,0,0
,"KENYON, Roger ",Central Defender,14,1,0,1,0,0,3,0,0
,"KING, Andy ",Midfielder,37,7,1,5,0,0,9,5,0
,"LATCHFORD, Bob ",Forward,36,17,0,5,3,0,9,5,0
,"LAWSON, David ",Goalkeeper,15,0,0,7,0,0,5,0,0
,"LYONS, Mike ",Central Defender,40,4,0,7,1,0,9,2,0
,"MCKENZIE, Duncan ",Forward,20,5,1,6,4,1,4,1,0
,"MCNAUGHT, Ken ",Central Defender,42,3,0,7,0,0,9,0,0
,"PEARSON, Jim ",Forward,16,4,0,3,1,0,2,0,0
,"PEJIC, Mike ",Full Back,17,1,0,4,0,0,0,0,0
,"RIOCH, Bruce ",Midfielder,22,2,0,7,1,0,0,0,0
,"ROBINSON, Neil ",Full Back,4,0,0,1,0,0,2,0,0
,"SEARGEANT, Steve ",Full Back,4,0,0,0,0,0,1,0,0
,"SMALLMAN, David ",Forward,2,0,0,0,0,0,1,0,0
,"TELFER, George ",Winger,19,4,0,1,0,0,3,0,0
,"WELLINGS, Barry ",Forward,0,0,0,0,0,0,0,0,0
