Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"CLARK, Paul ",Central Defender,9,0,0,2,0,0,0,0,0
,"COHEN, Jacob ",Full Back,6,0,0,0,0,0,0,0,0
,"DIGWEED, Perry ",Goalkeeper,15,0,0,0,0,0,0,0,0
,"FOSTER, Steve ",Central Defender,42,1,0,2,0,0,3,2,0
,"GARIANI, Moshe ",Midfielder,1,0,0,0,0,0,0,0,0
,"GREGORY, John ",Midfielder,39,7,0,2,0,0,3,0,0
,"HORTON, Brian ",Midfielder,38,1,1,2,1,0,3,0,0
,"LAWRENSON, Mark ",Central Defender,40,1,0,2,0,0,3,0,0
,"MCHALE, Ray ",Midfielder,11,0,0,0,0,0,2,0,0
,"MCNAB, Neil ",Midfielder,33,1,0,2,0,0,2,0,0
,"MOSELEY, Graham ",Goalkeeper,26,0,0,2,0,0,3,0,0
,"O'SULLIVAN, Peter ",Winger,24,2,0,2,0,0,0,0,0
,"PHILLIPS, John ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"RAMSEY, Chris ",Full Back,3,0,0,0,0,0,0,0,0
,"RITCHIE, Andy ",Forward,26,5,0,2,1,0,0,0,0
,"ROAST, Jesse ",Full Back,0,0,0,0,0,0,0,0,0
,"ROBINSON, Michael ",Forward,42,19,0,2,0,0,3,3,0
,"RYAN, Gerry ",Winger,10,0,0,0,0,0,1,1,0
,"SMITH, Gordon ",Winger,38,10,0,1,0,0,3,0,0
,"STEVENS, Gary ",Full Back,34,1,0,2,0,0,1,0,0
,"STILLE, Giles ",Midfielder,10,3,0,0,0,0,0,0,0
,"VESSEY, Tony ",Full Back,1,0,0,0,0,0,0,0,0
,"WARD, Peter ",Forward,11,1,0,0,0,0,3,1,0
,"WILLIAMS, Gary ",Full Back,26,2,1,0,0,0,3,1,0
