Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Darren ",Central Defender,0,0,0,0,0,0,0,0,0
,"BALL, Kevin ",Midfielder,0,0,0,0,0,0,0,0,0
,"BUTTERWORTH, Ian ",Central Defender,30,0,0,2,0,0,3,0,0
,"CONROY, Mike ",Forward,0,0,0,0,0,0,0,0,0
,"DALY, Gerry ",Midfielder,2,0,0,0,0,0,0,0,0
,"DYSON, Paul ",Central Defender,39,1,0,3,0,0,3,0,0
,"FRANCIS, Gerry ",Midfielder,32,1,0,2,0,0,1,0,0
,"GILLESPIE, Gary ",Central Defender,42,2,0,3,0,0,3,0,0
,"HALL, Derek ",Midfielder,1,0,0,0,0,0,0,0,0
,"HATELEY, Mark ",Forward,35,9,0,3,2,0,0,0,0
,"HENDRIE, John ",Winger,12,2,0,0,0,0,1,0,0
,"HICKS, Jim ",Central Defender,0,0,0,0,0,0,0,0,0
,"HORMANTSCHUK, Peter ",Full Back,11,1,0,2,0,0,1,0,0
,"HUNT, Steve ",Winger,35,4,1,3,0,0,3,1,0
,"JACOBS, Steve ",Central Defender,32,0,0,1,0,0,2,0,0
,"MARDENBOROUGH, Steve ",Winger,0,0,0,0,0,0,0,0,0
,"MELROSE, Jim ",Forward,24,8,0,2,0,0,3,2,0
,"RICHARDSON, Derek ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"ROBERTS, Brian ",Full Back,38,1,0,2,1,0,2,0,0
,"SEALEY, Les ",Goalkeeper,39,0,0,3,0,0,2,0,0
,"SINGLETON, Martin ",Midfielder,5,0,0,0,0,0,1,0,0
,"SUCKLING, Perry ",Goalkeeper,3,0,0,0,0,0,1,0,0
,"THOMAS, Danny ",Full Back,41,3,0,3,0,0,3,0,0
,"THOMPSON, Garry ",Forward,20,4,0,2,1,0,3,0,0
,"THOMPSON, Keith ",Winger,5,0,0,0,0,0,0,0,0
,"WHITTON, Steve ",Midfielder,38,12,0,3,2,1,3,0,0
