Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARNES, David ",Full Back,6,0,0,0,0,0,0,0,0
,"BASSETT, Graham ",Forward,0,0,0,0,0,0,0,0,0
,"BRAZIL, Alan ",Forward,28,10,0,3,0,0,4,0,0
,"BURLEY, George ",Full Back,31,1,0,0,0,0,4,0,0
,"BUTCHER, Terry ",Central Defender,42,0,0,3,0,0,4,1,0
,"COOPER, Paul ",Goalkeeper,35,0,0,2,0,0,2,0,0
,"D'AVRAY, Mich ",Forward,17,2,0,0,0,0,2,0,0
,"GATES, Eric ",Forward,24,3,0,1,0,0,3,1,0
,"GERNON, Irvin ",Full Back,26,0,0,3,0,0,1,0,0
,"KINSELLA, Tony ",Winger,4,0,0,0,0,0,0,0,0
,"LINFORD, John ",Forward,0,0,0,0,0,0,1,0,0
,"MARINER, Paul ",Forward,37,13,0,3,0,0,2,0,0
,"MCCALL, Steve ",Midfielder,42,4,0,3,1,0,4,1,0
,"MILLS, Mick ",Full Back,11,0,0,0,0,0,4,0,0
,"O'CALLAGHAN, Kevin ",Winger,28,0,0,2,0,0,3,0,0
,"OSMAN, Russell ",Central Defender,38,4,0,3,1,0,4,0,0
,"PARKIN, Tommy ",Midfielder,6,0,0,0,0,0,0,0,0
,"PUTNEY, Trevor ",Midfielder,20,3,0,1,0,0,0,0,0
,"SIVELL, Laurie ",Goalkeeper,7,0,0,1,0,0,2,0,0
,"STEGGLES, Kevin ",Central Defender,9,0,0,2,0,0,0,0,0
,"THIJSSEN, Frans ",Midfielder,29,3,0,3,1,0,3,0,0
,"TURNER, Robin ",Forward,5,1,0,1,0,0,0,0,0
,"WARK, John ",Midfielder,42,20,0,3,2,1,4,1,0
