Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Clive ",Forward,13,7,0,0,0,0,7,3,0
,"ARDILES, Ossie ",Midfielder,11,2,0,0,0,0,0,0,0
,"BOWEN, Mark ",Full Back,6,0,0,0,0,0,0,0,0
,"BROOKE, Garry ",Midfielder,4,1,0,0,0,0,3,0,0
,"CHIEDOZIE, John ",Winger,34,5,0,3,0,0,12,0,0
,"CLEMENCE, Ray ",Goalkeeper,42,0,0,3,0,0,13,0,0
,"COOKE, Richard ",Winger,0,0,0,0,0,0,2,0,0
,"CORDER, Peter ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"CROOK, Ian ",Midfielder,5,1,0,0,0,0,0,0,0
,"CROOKS, Garth ",Forward,22,10,0,3,1,0,8,7,0
,"DICK, Ally ",Winger,2,0,0,0,0,0,2,0,0
,"FALCO, Mark ",Forward,42,22,0,3,1,0,13,6,0
,"GALVIN, Tony ",Winger,38,4,0,3,1,0,10,1,0
,"GRENFELL, Steve ",Full Back,0,0,0,0,0,0,0,0,0
,"HAZARD, Micky ",Midfielder,23,4,0,0,0,0,11,3,0
,"HODDLE, Carl ",Midfielder,0,0,0,0,0,0,0,0,0
,"HODDLE, Glenn ",Midfielder,28,8,2,3,0,0,9,0,0
,"HUGHTON, Chris ",Full Back,31,1,0,3,0,0,11,2,0
,"LEWORTHY, Dave ",Forward,6,3,0,0,0,0,0,0,0
,"MABBUTT, Gary ",Central Defender,25,2,0,2,0,0,8,0,0
,"MILLER, Paul ",Central Defender,39,0,0,3,0,0,13,0,0
,"MONCUR, John ",Midfielder,0,0,0,0,0,0,0,0,0
,"O'SHEA, Tim ",Full Back,0,0,0,0,0,0,0,0,0
,"PERRYMAN, Steve ",Central Defender,42,1,0,3,0,0,13,0,0
,"ROBERTS, Graham ",Central Defender,40,7,4,3,0,0,11,2,1
,"STEVENS, Gary ",Full Back,28,0,0,3,0,0,11,2,0
,"THOMAS, Danny ",Full Back,16,0,0,0,0,0,5,0,0
,"THORSTVEDT, Erik ",Goalkeeper,0,0,0,0,0,0,0,0,0
