Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARMSTRONG, David ",Midfielder,41,10,2,6,2,1,10,4,3
,"BAKER, Steve ",Full Back,13,0,0,5,0,0,8,0,0
,"BLAKE, Mark ",Central Defender,1,0,0,0,0,0,0,0,0
,"BOND, Kevin ",Central Defender,34,1,0,6,0,0,7,0,0
,"CARROLL, Robbie ",Forward,0,0,0,0,0,0,0,0,0
,"CASE, Jimmy ",Midfielder,36,2,0,6,0,0,9,0,0
,"COCKERILL, Glenn ",Midfielder,30,7,1,6,2,0,2,0,0
,"COLLINS, Eamonn ",Midfielder,0,0,0,0,0,0,1,0,0
,"CURTIS, Alan ",Forward,11,1,0,0,0,0,7,0,0
,"DENNIS, Mark ",Full Back,24,0,0,4,0,0,5,0,0
,"FORREST, Gerry ",Full Back,22,0,0,0,0,0,1,0,0
,"GITTENS, Jon ",Central Defender,4,0,0,0,0,0,0,0,0
,"GOLAC, Ivan ",Full Back,9,0,0,0,0,0,1,0,0
,"GRANGER, Keith ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"HAMILTON, Ian ",Midfielder,0,0,0,0,0,0,0,0,0
,"HOLMES, Nick ",Midfielder,26,0,0,6,0,0,5,0,0
,"JORDAN, Joe ",Forward,12,0,0,0,0,0,4,0,0
,"KITE, Phil ",Goalkeeper,3,0,0,0,0,0,1,0,0
,"LAWRENCE, George ",Winger,21,2,0,4,0,0,3,0,0
,"MANN, Aidy ",Midfielder,0,0,0,0,0,0,0,0,0
,"MASKELL, Craig ",Forward,2,1,0,0,0,0,0,0,0
,"MCMANUS, Stuart ",Forward,2,1,0,0,0,0,0,0,0
,"MORAN, Steve ",Forward,28,8,0,4,1,0,7,1,0
,"PARKINSON, Phil ",Midfielder,0,0,0,0,0,0,0,0,0
,"PUCKETT, David ",Forward,15,4,0,2,0,0,7,1,0
,"SHARPE, John ",Full Back,0,0,0,0,0,0,0,0,0
,"SHILTON, Peter ",Goalkeeper,37,0,0,6,0,0,9,0,0
,"STRAW, Ian ",Midfielder,0,0,0,0,0,0,0,0,0
,"TANKARD, Allen ",Full Back,3,0,0,0,0,0,0,0,0
,"TOWNSEND, Andy ",Midfielder,27,1,0,3,0,0,7,0,0
,"WALLACE, Danny ",Winger,35,8,0,6,4,0,9,3,0
,"WHITLOCK, Mark ",Central Defender,14,0,0,0,0,0,4,0,0
,"WILDER, Chris ",Full Back,0,0,0,0,0,0,0,0,0
,"WRIGHT, Mark ",Central Defender,33,3,0,6,0,0,10,0,0
