Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BEASANT, Dave ",Goalkeeper,42,0,0,4,0,0,3,0,0
,"CAWLEY, Peter ",Central Defender,0,0,0,0,0,0,0,0,0
,"CLEMENT, Andy ",Full Back,4,0,0,0,0,0,1,0,0
,"CORK, Alan ",Forward,30,5,0,3,0,0,1,2,0
,"DOWNES, Wally ",Midfielder,15,0,0,3,0,0,1,1,0
,"FAIRWEATHER, Carlton ",Winger,26,8,0,4,0,0,3,0,0
,"FASHANU, John ",Forward,37,11,0,4,3,0,1,0,0
,"FRANCIS, Gerry ",Midfielder,0,0,0,0,0,0,0,0,0
,"GAGE, Kevin ",Full Back,30,3,3,2,0,0,3,0,0
,"GALLIERS, Steve ",Midfielder,14,0,0,0,0,0,3,0,0
,"GANNON, John ",Midfielder,2,0,0,0,0,0,0,0,0
,"GAYLE, Brian ",Central Defender,33,1,0,4,0,0,3,0,0
,"GORDON, Colin ",Forward,3,0,0,0,0,0,3,1,0
,"HODGES, Glyn ",Winger,37,9,3,4,2,0,2,0,0
,"JONES, Vinnie ",Midfielder,22,4,0,4,0,0,0,0,0
,"JOSEPH, Francis ",Forward,5,1,0,0,0,0,0,0,0
,"KAY, John ",Full Back,16,0,0,2,0,0,1,0,0
,"MORRIS, Mark ",Central Defender,21,0,0,1,0,0,2,0,0
,"RYAN, Vaughan ",Midfielder,1,0,0,0,0,0,0,0,0
,"SANCHEZ, Lawrie ",Midfielder,29,0,0,4,1,0,3,0,0
,"SAYER, Andy ",Forward,20,7,0,4,2,0,1,0,0
,"SMITH, Mick ",Central Defender,6,0,0,0,0,0,1,0,0
,"THORN, Andy ",Central Defender,34,2,0,3,0,0,2,0,0
,"WINTERBURN, Nigel ",Full Back,42,2,0,4,0,0,3,0,0
,"WISE, Dennis ",Midfielder,28,4,0,1,0,0,2,0,0
