Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AGANA, Tony ",Forward,2,0,0,0,0,0,0,0,0
,"BALL, Steve ",Midfielder,0,0,0,0,0,0,0,0,0
,"BATTY, David ",Midfielder,40,2,0,0,0,0,5,0,0
,"CANTONA, Eric ",Forward,15,3,0,0,0,0,0,0,0
,"CHAPMAN, Lee ",Forward,38,16,0,1,0,0,5,4,0
,"DAVISON, Bobby ",Forward,2,0,0,1,0,0,0,0,0
,"DORIGO, Tony ",Full Back,38,3,0,1,0,0,6,0,0
,"FAIRCLOUGH, Chris ",Central Defender,31,2,0,1,0,0,5,0,0
,"GRAYSON, Simon ",Full Back,0,0,0,0,0,0,1,0,0
,"HENDERSON, Damian ",Forward,0,0,0,0,0,0,0,0,0
,"HODGE, Steve ",Midfielder,23,7,0,1,0,0,5,0,0
,"KAMARA, Chris ",Midfielder,2,0,0,0,0,0,2,0,0
,"KELLY, Gary ",Full Back,2,0,0,0,0,0,1,0,0
,"LUKIC, John ",Goalkeeper,42,0,0,1,0,0,6,0,0
,"MAUCHLEN, Ally ",Midfielder,0,0,0,0,0,0,0,0,0
,"MCALLISTER, Gary ",Midfielder,42,5,1,1,0,0,4,0,0
,"MCCLELLAND, John ",Central Defender,18,0,0,0,0,0,3,0,0
,"MULRAIN, Steve ",Forward,0,0,0,0,0,0,0,0,0
,"NEWSOME, Jon ",Central Defender,10,2,0,0,0,0,1,0,0
,"NICHOLLS, Ryan ",Winger,0,0,0,0,0,0,0,0,0
,"SHUTT, Carl ",Forward,14,1,0,0,0,0,4,1,0
,"SNODIN, Glynn ",Midfielder,0,0,0,0,0,0,1,0,0
,"SPEED, Gary ",Midfielder,41,7,0,1,0,0,5,3,0
,"STERLAND, Mel ",Full Back,31,6,2,1,0,0,6,1,1
,"STRACHAN, Gordon ",Midfielder,36,4,4,0,0,0,4,0,0
,"VARADI, Imre ",Forward,3,0,0,0,0,0,0,0,0
,"WALLACE, Ray ",Midfielder,0,0,0,0,0,0,0,0,0
,"WALLACE, Rod ",Forward,34,11,0,1,0,0,4,3,0
,"WETHERALL, David ",Central Defender,1,0,0,0,0,0,0,0,0
,"WHITLOW, Mike ",Full Back,10,1,0,1,0,0,0,0,0
,"WHYTE, Chris ",Central Defender,41,1,0,1,0,0,6,0,0
,"WILLIAMS, Andy ",Midfielder,0,0,0,1,0,0,2,0,0
