Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AGANA, Tony ",Forward,13,1,0,2,0,0,2,0,0
,"BARROW, Lee ",Central Defender,0,0,0,0,0,0,0,0,0
,"BARTLETT, Kevin ",Forward,29,7,0,2,0,0,3,3,0
,"BLATHERWICK, Steve ",Central Defender,0,0,0,0,0,0,0,0,0
,"BROUGH, John ",Central Defender,0,0,0,0,0,0,0,0,0
,"CHERRY, Steve ",Goalkeeper,42,0,0,3,0,0,5,0,0
,"COX, Paul ",Central Defender,1,0,0,0,0,0,0,0,0
,"DEVLIN, Paul ",Winger,2,0,0,0,0,0,0,0,0
,"DRAPER, Mark ",Midfielder,35,1,0,2,1,0,3,1,0
,"DRYDEN, Richard ",Central Defender,29,1,0,2,0,0,4,0,0
,"FARINA, Frank ",Forward,3,0,0,0,0,0,0,0,0
,"HARDING, Paul ",Midfielder,29,1,0,2,0,0,4,1,0
,"HARMON, Darren ",Midfielder,0,0,0,0,0,0,0,0,0
,"HODDER, Steve ",Central Defender,0,0,0,0,0,0,0,0,0
,"JOHNSON, Michael ",Central Defender,5,0,0,0,0,0,1,0,0
,"JOHNSON, Tommy ",Forward,31,9,3,3,1,0,5,2,1
,"LUND, Gary ",Forward,13,2,0,2,1,0,0,0,0
,"MATTHEWS, Rob ",Winger,5,3,0,0,0,0,0,0,0
,"MCCLELLAND, John ",Central Defender,6,0,0,0,0,0,0,0,0
,"O'RIORDAN, Don ",Central Defender,1,0,0,0,0,0,1,0,0
,"PALMER, Charlie ",Full Back,41,0,0,3,0,0,4,0,0
,"PARIS, Alan ",Full Back,27,0,0,3,0,0,4,0,0
,"PATTERSON, Gary ",Midfielder,0,0,0,0,0,0,0,0,0
,"REGIS, Dave ",Forward,9,0,0,0,0,0,2,0,0
,"RIDEOUT, Paul ",Forward,11,3,0,1,0,0,4,0,0
,"ROBINSON, Phil ",Central Defender,1,0,0,0,0,0,0,0,0
,"SHORT, Craig ",Central Defender,38,3,0,3,0,0,4,0,0
,"SHORT, Chris ",Full Back,27,0,0,2,0,0,3,1,0
,"SLAWSON, Steve ",Forward,13,1,0,2,0,0,2,1,0
,"THOMAS, Dean ",Full Back,36,1,0,2,0,0,3,0,0
,"TURNER, Phil ",Midfielder,29,1,0,3,1,0,4,0,0
,"WALKER, Jimmy ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"WELLS, Mark ",Winger,1,0,0,0,0,0,1,0,0
,"WILLIAMS, Andy ",Midfielder,15,1,0,0,0,0,0,0,0
,"WILSON, Kevin ",Forward,8,1,0,0,0,0,0,0,0
,"YATES, Dean ",Central Defender,25,2,0,1,0,0,4,0,0
