Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Wolverhampton Wanderers,42,16,1,4,61,25,9,6,6,35,31,1.714,57,League Champions
2,West Bromwich Albion,42,13,5,3,51,24,9,4,8,35,39,1.365,53,FA Cup winners
3,Huddersfield Town,42,13,6,2,45,24,7,5,9,33,37,1.279,51,
4,Manchester United,42,11,6,4,41,27,7,6,8,32,31,1.259,48,
5,Bolton Wanderers,42,14,6,1,45,20,4,6,11,30,40,1.250,48,
6,Blackpool,42,13,6,2,43,19,6,4,11,37,50,1.159,48,
7,Burnley,42,16,2,3,51,23,5,2,14,27,44,1.164,46,
8,Chelsea,42,12,3,6,45,26,4,9,8,29,42,1.088,44,
9,Charlton Athletic,42,14,4,3,51,26,5,2,14,24,51,0.974,44,
10,Cardiff City,42,12,4,5,32,27,6,4,11,19,44,0.718,44,
11,Preston North End,42,12,2,7,43,24,7,3,11,44,34,1.500,43,
12,Arsenal,42,8,8,5,42,37,7,5,9,33,36,1.027,43,
13,Aston Villa,42,12,5,4,50,28,4,4,13,20,40,1.029,41,
14,Portsmouth,42,13,5,3,53,31,1,6,14,28,58,0.910,39,
15,Newcastle United,42,9,2,10,43,40,5,8,8,29,37,0.935,38,
16,Tottenham Hotspur,42,11,3,7,38,33,5,2,14,27,43,0.855,37,
17,Manchester City,42,10,4,7,35,31,4,5,12,27,46,0.805,37,
18,Sunderland,42,11,4,6,50,37,3,4,14,31,52,0.910,36,
19,Sheffield Wednesday,42,12,4,5,43,30,3,2,16,27,61,0.769,36,
20,Sheffield United,42,9,5,7,43,38,2,6,13,26,52,0.767,33,
21,Middlesbrough,42,6,6,9,29,35,4,4,13,31,56,0.659,30,Relegated
22,Liverpool,42,7,8,6,49,38,2,2,17,19,59,0.701,28,
