,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Earl Barrett\225696d1,eng ENG,DF,25,42,42,3780,42.0,1,2,1,0,0,3,0,0.02,0.05,0.07,0.02,0.07,Matchs
Paul McGrath\2f129582,ie IRL,DF,32,42,42,3750,41.7,4,2,4,0,0,1,0,0.10,0.05,0.14,0.10,0.14,Matchs
Kevin Richardson\cffbb5c8,eng ENG,MT,29,42,42,3717,41.3,2,1,2,0,0,4,0,0.05,0.02,0.07,0.05,0.07,Matchs
Steve Staunton\cb617782,ie IRL,DFMT,23,42,42,3644,40.5,2,8,2,0,0,2,0,0.05,0.20,0.25,0.05,0.25,Matchs
Shaun Teale\96db05d1,eng ENG,DF,28,39,39,3422,38.0,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matchs
Ray Houghton\61888b3f,ie IRL,MT,30,39,39,3345,37.2,3,7,3,0,0,1,0,0.08,0.19,0.27,0.08,0.27,Matchs
Garry Parker\54ae7f03,eng ENG,MT,26,37,37,3315,36.8,9,1,8,1,1,0,0,0.24,0.03,0.27,0.22,0.24,Matchs
Dean Saunders\c1435456,wls WAL,AT,28,35,35,3084,34.3,12,1,11,1,2,2,0,0.35,0.03,0.38,0.32,0.35,Matchs
Dalian Atkinson\40094615,eng ENG,AT,24,28,28,2512,27.9,11,4,11,0,0,1,0,0.39,0.14,0.54,0.39,0.54,Matchs
Nigel Spink\cbdaf1c1,eng ENG,GB,33,25,25,2250,25.0,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matchs
Dwight Yorke\2d0a99d3,tt TRI,ATMT,20,27,22,2006,22.3,6,3,6,0,0,0,0,0.27,0.13,0.40,0.27,0.40,Matchs
Mark Bosnich\9b46bcb7,au AUS,GB,20,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Steve Froggatt\35003e24,eng ENG,MT,19,17,16,1400,15.6,1,5,1,0,0,1,0,0.06,0.32,0.39,0.06,0.39,Matchs
Bryan Small\a4614157,eng ENG,DF,20,14,10,1187,13.2,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matchs
Tony Daley\0f36be43,eng ENG,MT,24,13,8,712,7.9,2,1,2,0,0,0,0,0.25,0.13,0.38,0.25,0.38,Matchs
Cyrille Regis\a11b6086,eng ENG,AT,34,13,7,712,7.9,1,3,1,0,0,0,0,0.13,0.38,0.51,0.13,0.51,Matchs
Neil Cox\dee2b65d,eng ENG,DF,20,15,6,567,6.3,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matchs
Matthias Breitkreutz\dacb5c1e,de GER,MT,21,3,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ugo Ehiogu\bd8d3cd5,eng ENG,DF,19,4,1,123,1.4,0,1,0,0,0,0,0,0.00,0.73,0.73,0.00,0.73,Matchs
Stefan Beinlich\f1c2030c,de GER,MT,20,7,1,112,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Farrell\e4019381,eng ENG,MT,20,2,1,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Frank McAvennie\c02f2ce8,sct SCO,AT,32,3,0,87,1.0,0,1,0,0,,0,0,0.00,1.03,1.03,0.00,1.03,Matchs
Mark Blake\8b400f6b,eng ENG,MT,21,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Carruthers\5bce5cf6,eng ENG,AT,19,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.9,42,462,,,56,41,54,2,3,23,0,1.33,0.98,2.31,1.29,2.26,
Total adversaire,,,26.5,42,,,,,,,,,,,,,,,,
