,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Ian Wright\60c275b3,eng ENG,AT,29,39,39,3487,38.7,23,3,19,4,4,6,0,0.59,0.08,0.67,0.49,0.57,Matchs
David Seaman\2d578837,eng ENG,GB,29,39,39,3459,38.4,0,2,0,0,0,0,1,0.00,0.05,0.05,0.00,0.05,Matchs
Tony Adams\26b5e727,eng ENG,DF,26,35,35,3108,34.5,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matchs
Nigel Winterburn\0672e24e,eng ENG,DF,29,34,34,3034,33.7,0,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matchs
Lee Dixon\b6ba1615,eng ENG,DF,29,33,32,2876,32.0,0,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matchs
Kevin Campbell\b209e651,eng ENG,AT,23,37,28,2667,29.6,14,4,14,0,1,0,0,0.47,0.13,0.61,0.47,0.61,Matchs
John Jensen\77e1f19b,dk DEN,MT,28,27,27,2285,25.4,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matchs
Paul Merson\eba7e6fd,eng ENG,ATMT,25,33,24,2293,25.5,7,6,7,0,0,1,0,0.27,0.24,0.51,0.27,0.51,Matchs
Ray Parlour\d567e937,eng ENG,MT,20,27,24,2219,24.7,2,4,2,0,0,1,0,0.08,0.16,0.24,0.08,0.24,Matchs
Martin Keown\b844a204,eng ENG,DFMT,27,33,23,2128,23.6,0,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matchs
Steve Bould\42e0fd3a,eng ENG,DF,30,25,23,2121,23.6,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matchs
Eddie McGoldrick\a85fecd3,ie IRL,DFAT,28,26,23,1951,21.7,0,3,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matchs
Alan Smith\0b7b04d2,eng ENG,AT,30,25,21,1914,21.3,3,4,3,0,0,0,0,0.14,0.19,0.33,0.14,0.33,Matchs
Paul Davis\002c1acb,eng ENG,MT,31,22,21,1757,19.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matchs
Andy Linighan\d2acfbec,eng ENG,DF,31,21,20,1810,20.1,0,2,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matchs
Ian Selley\b01c7a45,eng ENG,MT,19,18,16,1488,16.5,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matchs
David Hillier\c3861872,eng ENG,MT,23,15,11,951,10.6,0,3,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matchs
Anders Limpar\897b32c0,se SWE,MT,27,10,9,750,8.3,0,,0,0,0,3,0,0.00,,,0.00,,Matchs
Steve Morrow\6d8a536c,nir NIR,DFMT,23,11,7,715,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Alan Miller\ba82c15d,eng ENG,GB,23,4,3,321,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Flatts\3478d720,eng ENG,MT,20,3,2,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Dickov\1ea43e27,sct SCO,AT,20,1,0,45,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Total de l'équipe,,,27.5,42,452,,,50,27,46,4,5,34,1,1.19,0.64,1.83,1.10,1.74,
Total adversaire,,,26.6,42,,,,,,,,,,,,,,,,
