,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Shaun Taylor\4f2f15d2,eng ENG,DF,30,42,42,3780,42.0,4,0,4,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matchs
John Moncur\e982f824,eng ENG,MT,26,41,41,3627,40.3,4,3,4,0,0,4,0,0.10,0.07,0.17,0.10,0.17,Matchs
Nicky Summerbee\7e6a7ed4,eng ENG,MT,21,38,36,3142,34.9,3,4,3,0,0,3,0,0.09,0.11,0.20,0.09,0.20,Matchs
Adrian Whitbread\46ca0fc6,eng ENG,DF,21,35,34,2987,33.2,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matchs
Kevin Horlock\2bd566d6,nir NIR,MT,20,38,32,2971,33.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matchs
Luc Nijholt\c323e2d9,nl NED,DFMT,32,32,31,2703,30.0,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matchs
Martin Ling\a6eb61c9,eng ENG,MT,27,33,29,2549,28.3,1,1,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,Matchs
Paul Bodin\0643a008,wls WAL,DF,28,32,28,2483,27.6,7,5,2,5,6,2,0,0.25,0.18,0.43,0.07,0.25,Matchs
Fraser Digby\e78cfda8,eng ENG,GB,26,28,28,2471,27.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy Mutch\dec1808e,eng ENG,AT,29,30,27,2381,26.5,6,4,6,0,0,3,1,0.23,0.15,0.38,0.23,0.38,Matchs
Jan Åge Fjørtoft\c5694827,no NOR,AT,26,36,26,2300,25.6,12,1,10,2,2,2,0,0.47,0.04,0.51,0.39,0.43,Matchs
Terry Fenwick\437743fd,eng ENG,DF,33,26,23,2069,23.0,0,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matchs
Keith Scott\cdeeb91b,eng ENG,AT,26,27,22,1985,22.1,4,1,4,0,0,0,0,0.18,0.05,0.23,0.18,0.23,Matchs
Lawrie Sanchez\2fd8fd97,nir NIR,MT,33,23,21,1926,21.4,2,3,2,0,0,1,0,0.09,0.14,0.23,0.09,0.23,Matchs
Nick Hammond\c1e37691,,GB,25,13,11,1084,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Brian Kilcline\37814088,eng ENG,DF,31,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ross MacLaren\ade7f9df,sct SCO,MT,31,12,10,927,10.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Frank McAvennie\c02f2ce8,sct SCO,AT,33,7,3,298,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ty Gooden\a7da2742,eng ENG,MT,20,4,3,228,2.5,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matchs
Steve White\cc62cb5a,eng ENG,AT,34,6,2,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jon Sheffield\7dd9ad97,eng ENG,GB,24,2,2,152,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Heald\7c9385a5,eng ENG,GB,24,2,1,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Andy Thomson\9faa99b2,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Chris Hamon\18a742c0,eng ENG,AT,23,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.4,42,464,,,45,28,38,7,8,38,1,1.07,0.67,1.74,0.90,1.57,
Total adversaire,,,26.6,42,,,,,,,,,,,,,,,,
