,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Mark Draper\bf597500,eng ENG,MT,23,39,39,3289,36.5,5,2,5,0,0,5,0,0.14,0.05,0.19,0.14,0.19,Matchs
Kevin Poole\f2143ffd,eng ENG,GB,31,36,36,3240,36.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Simon Grayson\c4c559e6,eng ENG,DF,24,34,34,2905,32.3,0,1,0,0,0,6,1,0.00,0.03,0.03,0.00,0.03,Matchs
Iwan Roberts\9aeddde0,wls WAL,AT,26,37,32,2897,32.2,9,2,9,0,0,2,0,0.28,0.06,0.34,0.28,0.34,Matchs
Mark Robins\d3d59d26,eng ENG,AT,24,33,29,2624,29.2,9,6,9,0,1,0,0,0.31,0.21,0.51,0.31,0.51,Matchs
Jimmy Willis\194fa98f,eng ENG,DF,26,29,29,2562,28.5,2,0,2,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matchs
Mike Whitlow\9d3d5f5d,eng ENG,DF,26,28,28,2409,26.8,2,3,2,0,0,6,1,0.07,0.11,0.19,0.07,0.19,Matchs
Mark Blake\8b400f6b,eng ENG,MT,23,30,26,2305,25.6,3,1,3,0,0,8,0,0.12,0.04,0.16,0.12,0.16,Matchs
Colin Hill\ae19af98,nir NIR,DF,30,24,24,2084,23.2,0,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matchs
Nicky Mohan\a6efa9a5,eng ENG,DF,23,23,23,2038,22.6,0,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,Matchs
David Lowe\5b887ecc,eng ENG,MT,28,29,19,1837,20.4,8,3,8,0,0,3,1,0.39,0.15,0.54,0.39,0.54,Matchs
Lee Philpott\d3c3ec9a,eng ENG,MT,24,23,19,1711,19.0,0,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matchs
Steve Thompson\4caa1ce7,eng ENG,MT,29,19,16,1491,16.6,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matchs
Garry Parker\54ae7f03,eng ENG,MT,28,14,14,1242,13.8,2,1,2,0,0,0,0,0.14,0.07,0.22,0.14,0.22,Matchs
Neil Lewis\41583f42,,DF,20,16,14,1166,13.0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Franz Carr\bf5f4723,eng ENG,ATMT,27,13,12,1006,11.2,1,1,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matchs
Julian Joachim\2a0f531a,eng ENG,AT,19,15,11,1020,11.3,3,2,3,0,0,0,0,0.26,0.18,0.44,0.26,0.44,Matchs
Brian Carey\445ce4d4,ie IRL,DF,26,12,11,915,10.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Smith\0e0006a4,eng ENG,DF,23,12,10,916,10.2,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matchs
Jamie Lawrence\25117d43,jm JAM,MT,24,17,9,1080,12.0,1,3,1,0,0,0,0,0.08,0.25,0.33,0.08,0.33,Matchs
David Oldfield\185be55d,eng ENG,MT,26,14,8,758,8.4,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matchs
Steve Agnew\23d5ce02,eng ENG,MT,28,11,7,690,7.7,0,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matchs
Gavin Ward\ab0ee28f,eng ENG,GB,24,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ian Ormondroyd\7444efb5,eng ENG,AT,29,6,6,476,5.3,0,1,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matchs
Steve Walsh\3e59c893,eng ENG,DF,29,5,5,450,5.0,0,,0,0,,0,0,0.00,,,0.00,,Matchs
Mike Galloway\0d24df18,sct SCO,DF,29,5,4,387,4.3,0,3,0,0,,3,0,0.00,0.70,0.70,0.00,0.70,Matchs
Phil Gee\37bb014f,eng ENG,AT,29,7,3,271,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gary Mills\9225c3af,eng ENG,DFMT,32,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Emile Heskey\30184789,eng ENG,AT,16,1,1,68,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Sam McMahon\0f3338a6,eng ENG,MT,18,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.2,42,467,,,46,27,46,0,1,62,8,1.10,0.64,1.74,1.10,1.74,
Total adversaire,,,26.7,42,,,,,,,,,,,,,,,,
