,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Lee Bowyer\f4fd57ba,eng ENG,MT,23,38,38,3346,37.2,9,5,9,0,0,9,0,0.24,0.13,0.38,0.24,0.38,Matchs
Rio Ferdinand\52465662,eng ENG,DF,21,35,35,3051,33.9,2,0,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matchs
Mark Viduka\c4c545c7,au AUS,AT,24,34,34,3012,33.5,17,4,17,0,0,5,0,0.51,0.12,0.63,0.51,0.63,Matchs
Olivier Dacourt\3a114b3c,fr FRA,MT,25,33,33,2772,30.8,3,3,3,0,0,13,0,0.10,0.10,0.19,0.10,0.19,Matchs
Dominic Matteo\f6ea8457,sct SCO,DFMT,26,30,30,2598,28.9,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matchs
Ian Harte\fd4fa092,ie IRL,DF,22,29,29,2610,29.0,7,6,5,2,3,1,0,0.24,0.21,0.45,0.17,0.38,Matchs
Alan Smith\fdac06ea,eng ENG,ATMT,19,33,26,2430,27.0,11,6,11,0,0,7,1,0.41,0.22,0.63,0.41,0.63,Matchs
Eirik Bakke\5a10a72e,no NOR,MT,22,29,24,2085,23.2,2,1,2,0,0,9,0,0.09,0.04,0.13,0.09,0.13,Matchs
Nigel Martyn\8977904e,eng ENG,GB,33,23,23,2051,22.8,0,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matchs
Gary Kelly\1832e33c,ie IRL,DF,26,24,22,2028,22.5,0,3,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matchs
Danny Mills\240e4301,eng ENG,DF,23,22,20,1855,20.6,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matchs
Lucas Radebe\84d2a0f0,za RSA,DF,31,20,19,1664,18.5,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Robinson\3515ba56,eng ENG,GB,20,16,15,1369,15.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jonathan Woodgate\9482a3bd,eng ENG,DF,20,14,14,1067,11.9,1,0,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matchs
David Batty\21b2e37b,eng ENG,MT,31,16,13,1210,13.4,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matchs
Harry Kewell\51ef13b9,au AUS,ATMT,21,17,12,1163,12.9,2,4,2,0,0,2,0,0.15,0.31,0.46,0.15,0.46,Matchs
Robbie Keane\f45e1bb2,ie IRL,AT,20,18,12,1036,11.5,9,3,8,1,1,1,0,0.78,0.26,1.04,0.69,0.96,Matchs
Jason Wilcox\6b9fa9ad,eng ENG,ATMT,29,17,7,796,8.8,0,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matchs
Michael Bridges\a57b3014,eng ENG,ATMT,21,7,6,539,6.0,0,3,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,Matchs
Michael Duberry\db61b520,eng ENG,DF,24,5,5,406,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stephen McPhail\60c96516,ie IRL,MT,20,7,3,356,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Jacob Burns\400a4f05,au AUS,MT,22,4,3,297,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Danny Hay\9675179d,nz NZL,DF,25,4,2,299,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gareth Evans\abcacc4e,eng ENG,DF,19,1,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,24.6,38,425,,,63,44,60,3,4,72,3,1.66,1.16,2.82,1.58,2.74,
Total adversaire,,,27.0,38,,,,,,,,,,,,,,,,
