,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Wayne Bridge\86b982bc,eng ENG,DF,19,38,38,3420,38.0,0,2,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matchs
Claus Lundekvam\22de8419,no NOR,DF,27,38,38,3351,37.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Paul Jones\3bf1ce9d,wls WAL,GB,33,35,35,3150,35.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Oakley\79974582,eng ENG,MT,22,35,35,2965,32.9,1,1,1,0,0,1,0,0.03,0.03,0.06,0.03,0.06,Matchs
James Beattie\7c881089,eng ENG,AT,22,36,29,2603,28.9,11,4,11,0,0,5,0,0.38,0.14,0.52,0.38,0.52,Matchs
Jason Dodd\df15c7a1,eng ENG,DF,29,31,29,2587,28.7,1,1,1,0,0,2,0,0.03,0.03,0.07,0.03,0.07,Matchs
Dean Richards\9fc6fda5,eng ENG,DF,26,28,28,2494,27.7,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,Matchs
Jo Tessem\32290355,no NOR,MT,28,33,27,2466,27.4,4,2,4,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matchs
Marians Pahars\bc95c25d,lv LVA,ATMT,23,31,26,2339,26.0,9,6,9,0,0,1,0,0.35,0.23,0.58,0.35,0.58,Matchs
Hassan Kachloul\ea1a36dc,ma MAR,MT,27,32,26,2311,25.7,5,7,5,0,0,5,1,0.19,0.27,0.47,0.19,0.47,Matchs
Tahar El Khalej\31388b4f,ma MAR,DFMT,32,32,25,2327,25.9,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matchs
Dan Petrescu\dc2e7399,ro ROU,DF,32,25,23,1965,21.8,3,2,3,0,0,1,0,0.14,0.09,0.23,0.14,0.23,Matchs
Kevin Davies\2f726a89,eng ENG,AT,23,27,21,1812,20.1,1,3,1,0,0,8,0,0.05,0.15,0.20,0.05,0.20,Matchs
Chris Marsden\c1f59bed,eng ENG,MT,31,23,19,1612,17.9,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matchs
Mark Draper\bf597500,eng ENG,MT,29,22,16,1559,17.3,1,1,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,Matchs
Uwe Rösler\77a6a70d,de GER,AT,31,20,6,674,7.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matchs
Trond Egil Soltvedt\6b5cedc7,no NOR,MT,33,6,3,366,4.1,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matchs
Neil Moss\0a63c6a4,eng ENG,GB,25,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Matt Le Tissier\d5e78451,eng ENG,ATMT,31,8,2,233,2.6,1,0,1,0,0,1,0,0.39,0.00,0.39,0.39,0.39,Matchs
Garry Monk\a70de3a4,eng ENG,DF,21,2,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stuart Ripley\6516188c,eng ENG,ATMT,32,3,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Kevin Gibbens\91a5db9a,eng ENG,ATMT,20,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Francis Benali\91950851,eng ENG,DF,31,4,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Imants Bleidelis\def622d5,lv LVA,MT,24,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,27.2,38,433,,,40,28,40,0,0,49,1,1.05,0.74,1.79,1.05,1.79,
Total adversaire,,,26.9,38,,,,,,,,,,,,,,,,
