,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Teddy Sheringham\4e56eef6,eng ENG,AT,35,34,33,2944,32.7,10,3,7,3,3,4,1,0.31,0.09,0.40,0.21,0.31,Matchs
Darren Anderton\09cebe50,eng ENG,MT,29,35,33,2926,32.5,3,5,3,0,0,1,0,0.09,0.15,0.25,0.09,0.25,Matchs
Ledley King\83ca192d,eng ENG,DFMT,20,32,32,2835,31.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Gus Poyet\27cd364d,uy URU,MT,33,34,32,2817,31.3,10,4,10,0,0,6,1,0.32,0.13,0.45,0.32,0.45,Matchs
Chris Perry\2f43aa1c,eng ENG,DF,28,33,30,2689,29.9,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mauricio Taricco\efad718d,ar ARG,DF,28,30,30,2475,27.5,0,1,0,0,0,4,2,0.00,0.04,0.04,0.00,0.04,Matchs
Neil Sullivan\2ea16583,sct SCO,GB,31,29,29,2610,29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Dean Richards\9fc6fda5,eng ENG,DF,27,28,28,2070,23.0,2,1,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,Matchs
Christian Ziege\c2984c2d,de GER,DFMT,29,27,27,2353,26.1,5,6,5,0,0,6,0,0.19,0.23,0.42,0.19,0.42,Matchs
Les Ferdinand\aad47f5a,eng ENG,AT,34,25,22,1745,19.4,9,2,9,0,0,4,0,0.46,0.10,0.57,0.46,0.57,Matchs
Steffen Freund\80439de1,de GER,MT,31,20,19,1675,18.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matchs
Tim Sherwood\885f0b51,eng ENG,MT,32,19,15,1391,15.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matchs
Simon Davies\522b6d6c,wls WAL,MT,21,19,13,1182,13.1,4,3,4,0,0,0,0,0.30,0.23,0.53,0.30,0.53,Matchs
Steffen Iversen\6454b97e,no NOR,AT,24,18,12,1308,14.5,4,1,4,0,0,1,0,0.28,0.07,0.34,0.28,0.34,Matchs
Anthony Gardner\0f2da318,eng ENG,DF,20,15,11,1053,11.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matchs
Ben Thatcher\dc5460f9,wls WAL,DF,25,12,11,956,10.6,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matchs
Serhiy Rebrov\493b0ae2,ua UKR,ATMT,27,30,9,950,10.6,1,3,1,0,0,0,0,0.09,0.28,0.38,0.09,0.38,Matchs
Kasey Keller\5b5bcd83,us USA,GB,31,9,9,810,9.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Goran Bunjevčević\c29307da,rs SRB,DF,28,6,5,417,4.6,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matchs
Gary Doherty\db5c50dd,ie IRL,DFAT,21,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Stephen Clemence\31f20410,eng ENG,MT,23,6,4,282,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Øyvind Leonhardsen\490a8799,no NOR,MT,30,7,2,230,2.6,0,1,0,0,0,2,0,0.00,0.39,0.39,0.00,0.39,Matchs
Matthew Etherington\ef616df9,eng ENG,MT,19,5,1,172,1.9,0,1,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,Matchs
Alton Thelwell\23d28571,eng ENG,DF,20,2,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,28.9,38,411,,,48,33,45,3,3,59,4,1.26,0.87,2.13,1.18,2.05,
Total adversaire,,,27.1,38,,,,,,,,,,,,,,,,
